,ForwardingRatio,IngressEgressDelta,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,ConsistencyScore
ForwardingRatio,1.0,-0.6532001854417581,-0.8134019493277818,,,0.08124813435173425,-0.09869007927863792,0.2447887384841905,-0.0466097285323816,-0.017801971159219644,-0.2892804743308566,,-0.38915686651807924
IngressEgressDelta,-0.6532001854417581,1.0,0.9401644014907564,,,-0.07778405067727782,0.09781586123437744,-0.30995586606965364,0.0399150572873844,0.056345741820984035,0.3574677446090811,,0.907515664896624
RetryRate,-0.8134019493277818,0.9401644014907564,1.0,-0.08249208157067979,-0.025224338093149896,-0.03347086414080682,0.04812104841448683,-0.22082151083634685,-0.012351229387396826,0.01221582681563368,-0.008410584361795651,,0.7998258547858499
PDR,,,-0.08249208157067979,1.0,0.09439562894249727,0.017484027761545194,0.007653407373856787,-0.15216178218985132,0.11258165814396735,-0.09959455624614666,-0.1731306140468749,0.019849482775130853,
ParentSwitchRate,,,-0.025224338093149896,0.09439562894249727,1.0,0.7536207606422993,-0.5013059420240219,0.036226829608907954,-0.016894165792972288,-0.21360671961121086,0.33171907516918014,-0.014887109929994953,
LayerChangeCount,0.08124813435173425,-0.07778405067727782,-0.03347086414080682,0.017484027761545194,0.7536207606422993,1.0,-0.6668026014117486,0.0023650746415186303,-0.020290162782599576,-0.14072864090334375,0.23049367264852033,-0.014887109929994946,-0.08124813435173425
HopStabilityDuration,-0.09869007927863792,0.09781586123437744,0.04812104841448683,0.007653407373856787,-0.5013059420240219,-0.6668026014117486,1.0,-0.027591408133951608,-0.041178848489717146,0.23603562735242112,-0.14001677478551564,0.019642699024551888,0.09869007927863774
RSSI_mean,0.2447887384841905,-0.30995586606965364,-0.22082151083634685,-0.15216178218985132,0.036226829608907954,0.0023650746415186303,-0.027591408133951608,1.0,0.007498779708009267,0.22874247071035947,-0.254392793631369,0.2934150331591864,-0.2776394091265267
RSSI_var,-0.0466097285323816,0.0399150572873844,-0.012351229387396826,0.11258165814396735,-0.016894165792972288,-0.020290162782599576,-0.041178848489717146,0.007498779708009267,1.0,-0.1921781222522655,0.12990108811907342,0.3649767016519744,0.03875412139473976
RSSI_stability,-0.017801971159219644,0.056345741820984035,0.01221582681563368,-0.09959455624614666,-0.21360671961121086,-0.14072864090334375,0.23603562735242112,0.22874247071035947,-0.1921781222522655,1.0,-0.22425263755989336,-0.295175242020137,0.017801971159219682
RSSI_Hop_Diff,-0.2892804743308566,0.3574677446090811,-0.008410584361795651,-0.1731306140468749,0.33171907516918014,0.23049367264852033,-0.14001677478551564,-0.254392793631369,0.12990108811907342,-0.22425263755989336,1.0,0.25552548510061635,0.29925291944652244
LatencyHopRatio,,,,0.019849482775130853,-0.014887109929994953,-0.014887109929994946,0.019642699024551888,0.2934150331591864,0.3649767016519744,-0.295175242020137,0.25552548510061635,1.0,
ConsistencyScore,-0.38915686651807924,0.907515664896624,0.7998258547858499,,,-0.08124813435173425,0.09869007927863774,-0.2776394091265267,0.03875412139473976,0.017801971159219682,0.29925291944652244,,1.0
