,ForwardingRatio,IngressEgressDelta,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio,ConsistencyScore
ForwardingRatio,1.0,-0.864530238238425,-0.8566369871990006,,,0.1443555922730997,-0.26224379635833117,0.48429673397874384,-0.011261682649755179,-0.17947297904244955,-0.4234697691762477,,-0.9804370900265522
IngressEgressDelta,-0.864530238238425,1.0,0.9767997854320598,,,-0.07822886167349338,0.08406444468656005,-0.45957022627345073,0.10378725952062282,0.009937384434325451,0.5449136794240791,,0.8854073033894008
RetryRate,-0.8566369871990006,0.9767997854320598,1.0,-0.0824457948214558,-0.02520974571726569,-0.03345180954296168,0.02277316139070929,-0.28449360630358783,0.09350374606248954,0.00416454032082603,0.12785338107432287,,0.8506825489467048
PDR,,,-0.0824457948214558,1.0,0.09540045947646604,0.018121065528081286,-0.06245024866474909,-0.152687965863981,0.024802915454183217,-0.1490792301029499,-0.18137741066199062,-0.03836250688772202,
ParentSwitchRate,,,-0.02520974571726569,0.09540045947646604,1.0,0.753613812277903,-0.1634723058364589,0.010375827718933719,-0.07406855370263092,-0.11373938761958186,0.09433485986461511,0.1159350089456506,
LayerChangeCount,0.1443555922730997,-0.07822886167349338,-0.03345180954296168,0.018121065528081286,0.753613812277903,1.0,-0.21658316160031246,0.0019904011527395425,-0.04324782740859854,-0.04600644012317438,0.07637008119813611,0.1159350089456506,-0.1443555922730997
HopStabilityDuration,-0.26224379635833117,0.08406444468656005,0.02277316139070929,-0.06245024866474909,-0.1634723058364589,-0.21658316160031246,1.0,-0.030736729584643206,-0.044663573533370075,0.72379506355446,0.2071097361389873,0.08711590573447534,0.26224379635833117
RSSI_mean,0.48429673397874384,-0.45957022627345073,-0.28449360630358783,-0.152687965863981,0.010375827718933719,0.0019904011527395425,-0.030736729584643206,1.0,-0.4996594573242912,0.20849881655948072,-0.3960620457895687,-0.15972534963601737,-0.49335707052364897
RSSI_var,-0.011261682649755179,0.10378725952062282,0.09350374606248954,0.024802915454183217,-0.07406855370263092,-0.04324782740859854,-0.044663573533370075,-0.4996594573242912,1.0,-0.26039924247021007,0.36499295746437693,0.23441911080159958,0.01819571893492784
RSSI_stability,-0.17947297904244955,0.009937384434325451,0.00416454032082603,-0.1490792301029499,-0.11373938761958186,-0.04600644012317438,0.72379506355446,0.20849881655948072,-0.26039924247021007,1.0,0.001260713451245314,-0.08739323853755572,0.17947297904244955
RSSI_Hop_Diff,-0.4234697691762477,0.5449136794240791,0.12785338107432287,-0.18137741066199062,0.09433485986461511,0.07637008119813611,0.2071097361389873,-0.3960620457895687,0.36499295746437693,0.001260713451245314,1.0,0.26875270333285184,0.4288266394862021
LatencyHopRatio,,,,-0.03836250688772202,0.1159350089456506,0.1159350089456506,0.08711590573447534,-0.15972534963601737,0.23441911080159958,-0.08739323853755572,0.26875270333285184,1.0,
ConsistencyScore,-0.9804370900265522,0.8854073033894008,0.8506825489467048,,,-0.1443555922730997,0.26224379635833117,-0.49335707052364897,0.01819571893492784,0.17947297904244955,0.4288266394862021,,1.0
