feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,0.6213384016740966,0.999999000001,0.3553828064190935,0.0,7.999992000008,478,2471,0.8065560501821125
IngressEgressDelta,1.022680412371134,0.0,1.7701456931072677,0.0,7.0,485,2471,0.8037231889923108
RetryRate,0.07372181081659564,0.0,0.06812333981620335,0.0,0.9999996666667778,2471,2471,0.0
PDR,0.05150214408338627,0.0,0.048879640522399265,0.0,1.0,1631,2471,0.33994334277620397
ParentSwitchRate,0.0016458196181698512,0.0,0.0003338459089423081,0.0,0.2040816326530621,496,2471,0.7992715499797652
LayerChangeCount,0.014112903225806451,0.0,0.01394183773216031,0.0,1.0,496,2471,0.7992715499797652
HopStabilityDuration,4.854233870967732,4.899999999999977,0.0709315330726617,1.7000000000000457,4.900000000000006,496,2471,0.7992715499797652
RSSI_mean,-53.28731844957058,-66.55555555555556,1111.8860258259442,-93.0,0.0,2471,2471,0.0
RSSI_var,3.5789783432258635,0.0,3598.93121115601,0.0,1555.56,2471,2471,0.0
RSSI_stability,4.505645161290315,4.899999999999977,0.9084125122189628,0.0,4.900000000000006,496,2471,0.7992715499797652
RSSI_Hop_Diff,5.454090786456226,2.0,54.85613318434209,0.0,63.85,2471,2471,0.0
LatencyHopRatio,117.48834386199157,3.8807,660990.5729838808,1.6728,7177.320636363636,87,2471,0.9647915823553217
ConsistencyScore,0.41213435983222135,9.99998999939855e-07,0.3288571889880104,3.333332222466012e-07,6.9999920000080005,478,2471,0.8065560501821125
TunnelIntensity,,,,,,0,2471,1.0
TunnelBytes,,,,,,0,2471,1.0
TunnelLatency,,,,,,0,2471,1.0
