label,feature,mean,median,variance,n_valid,n_total
Baseline,ForwardingRatio,0.9966434765107992,0.999999000001,0.195461558955432,298,1569
Baseline,IngressEgressDelta,0.06557377049180328,0.0,0.20621225194132878,305,1569
Baseline,RetryRate,0.0013809210926995817,0.0,0.0010787308064309027,1569,1569
Baseline,PDR,0.07255520294427129,0.0,0.06736177593890688,951,1569
Baseline,ParentSwitchRate,0.0025833118057349566,0.0,0.0005221854767666395,316,1569
Baseline,LayerChangeCount,0.015822784810126583,0.0,0.015621860558569423,316,1569
Baseline,HopStabilityDuration,4.840189873417713,4.899999999999977,0.10209393208760249,316,1569
Baseline,RSSI_mean,-51.2435149776928,-71.6,1242.3420564911796,1569,1569
Baseline,RSSI_var,5.1965126358300076,0.0,5655.409672643105,1569,1569
Baseline,RSSI_stability,4.4784810126582215,4.899999999999977,1.0050592726542054,316,1569
Baseline,RSSI_Hop_Diff,4.172574534381418,1.0,56.405740897031876,1569,1569
Baseline,LatencyHopRatio,140.711546055462,3.8874250000000004,797454.72013355,72,1569
Baseline,ConsistencyScore,0.05704773154295915,9.99998999939855e-07,0.19220746174186065,298,1569
Baseline,TunnelIntensity,,,,0,1569
Baseline,TunnelBytes,,,,0,1569
Baseline,TunnelLatency,,,,0,1569
Blackhole,ForwardingRatio,0.0,0.0,0.0,180,902
Blackhole,IngressEgressDelta,2.6444444444444444,3.0,0.23041589075108626,180,902
Blackhole,RetryRate,0.19955646267556787,0.0,0.15991088733311365,902,902
Blackhole,PDR,0.022058822058825003,0.0,0.021603999545183248,680,902
Blackhole,ParentSwitchRate,0.0,0.0,0.0,180,902
Blackhole,LayerChangeCount,0.011111111111111112,0.0,0.011049037864680323,180,902
Blackhole,HopStabilityDuration,4.878888888888879,4.899999999999977,0.015529484792054463,180,902
Blackhole,RSSI_mean,-56.842448879034244,-65.0,866.161912402496,902,902
Blackhole,RSSI_var,0.765329446223755,0.0,11.577996602775285,902,902
Blackhole,RSSI_stability,4.553333333333324,4.899999999999977,0.7398212290502842,180,902
Blackhole,RSSI_Hop_Diff,7.683247105198326,6.399999999999992,44.385728538342384,902,902
Blackhole,LatencyHopRatio,6.0169733333333335,3.867,48.951269290666666,15,902
Blackhole,ConsistencyScore,1.0,1.0,0.0,180,902
Blackhole,TunnelIntensity,,,,0,902
Blackhole,TunnelBytes,,,,0,902
Blackhole,TunnelLatency,,,,0,902
