feature,threshold_accuracy,nan_accuracy,coverage,excluded,majority_baseline,lift_over_majority
ForwardingRatio,0.9990157480314961,0.6642619311875694,0.5638179800221975,False,0.6997780244173141,0.299237723614182
ConsistencyScore,0.9970472440944882,0.6642619311875694,0.5638179800221975,False,0.6997780244173141,0.2972692196771741
IngressEgressDelta,0.7985571587125416,,1.0,False,0.6997780244173141,0.09877913429522756
LatencyHopRatio,0.7797927461139896,0.5810210876803552,0.2142064372918979,False,0.6997780244173141,0.08001472169667556
PDR,0.7,0.5665926748057714,0.33296337402885684,False,0.6997780244173141,0.0002219755826858849
ParentSwitchRate,0.6997780244173141,,1.0,False,0.6997780244173141,0.0
RetryRate,0.6997780244173141,,1.0,True,0.6997780244173141,0.0
HopChangeCount,0.6997780244173141,,1.0,False,0.6997780244173141,0.0
RSSI_var,0.6986681465038845,,1.0,False,0.6997780244173141,-0.0011098779134295356
RSSI_Hop_Diff,0.6985845129059117,0.5660377358490566,0.6664816870144284,False,0.6997780244173141,-0.0011935115114023453
RSSI_mean,0.6985845129059117,0.5660377358490566,0.6664816870144284,False,0.6997780244173141,-0.0011935115114023453
HopStabilityDuration,0.6981132075471698,,1.0,False,0.6997780244173141,-0.0016648168701443034
RSSI_stability,0.5610432852386238,,1.0,False,0.6997780244173141,-0.13873473917869028
TunnelIntensity,,,0.0,True,0.6997780244173141,
TunnelBytes,,,0.0,True,0.6997780244173141,
TunnelLatency,,,0.0,True,0.6997780244173141,
