feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,0.7898820769344794,0.999999000001,0.1755645388381672,0.0,3.999996000004,1244,3502,0.644774414620217
IngressEgressDelta,0.1036550542547116,0.0,1.6353536747516537,0.0,69.0,3502,3502,0.0
RetryRate,0.018846354654502,0.0,0.018496432401273646,0.0,0.999999000001,3502,3502,0.0
PDR,0.8148710166919575,1.0,0.15097078821020327,0.0,1.0,1318,3502,0.6236436322101656
ParentSwitchRate,0.0019036740909956695,0.0,0.002112172592631003,0.0,1.1111111111111391,3502,3502,0.0
HopChangeCount,0.0019988577955454027,0.0,0.001995432160934357,0.0,1.0,3502,3502,0.0
HopStabilityDuration,0.8888635065676677,0.8999999999999773,0.0012184166684201954,0.5,0.900000000000091,3502,3502,0.0
RSSI_mean,-40.722956845238095,-49.0,189.01070690318798,-64.0,-24.0,2800,3502,0.20045688178183896
RSSI_var,0.3166156622288734,0.0,6.322087086326864,0.0,136.89,3502,3502,0.0
RSSI_stability,0.7052541404911428,0.8999999999999773,0.12791868717936467,0.0,0.900000000000091,3502,3502,0.0
RSSI_Hop_Diff,4.6952505407354,0.4888888888888907,82.73884102710355,0.0,25.0,2774,3502,0.20788121073672183
LatencyHopRatio,3.7428646511627903,2.2916666666666665,14.502455346990555,0.0,50.681666666666665,1075,3502,0.6930325528269561
ConsistencyScore,0.2149410677600609,9.99998999939855e-07,0.17351276848862177,9.99998999939855e-07,2.999996000004,1244,3502,0.644774414620217
TunnelIntensity,,,,,,0,3502,1.0
TunnelBytes,,,,,,0,3502,1.0
TunnelLatency,,,,,,0,3502,1.0
