label,feature,mean,median,variance,n_valid,n_total
Baseline,ForwardingRatio,0.9999990000010003,0.999999000001,1.1106641936532358e-31,836,1676
Baseline,IngressEgressDelta,0.0,0.0,0.0,1676,1676
Baseline,RetryRate,0.0,0.0,0.0,1676,1676
Baseline,PDR,1.0,1.0,0.0,781,1676
Baseline,ParentSwitchRate,0.0,0.0,0.0,1676,1676
Baseline,HopChangeCount,0.0,0.0,0.0,1676,1676
Baseline,HopStabilityDuration,0.8890811455847148,0.8999999999999773,0.0010329462472839044,1676,1676
Baseline,RSSI_mean,-43.82931263269639,-49.0,170.60037314035122,1256,1676
Baseline,RSSI_var,0.22271298321989452,0.0,0.743277028590378,1676,1676
Baseline,RSSI_stability,0.6631861575178918,0.8999999999999773,0.14888273786199904,1676,1676
Baseline,RSSI_Hop_Diff,0.5711783439490445,0.2222222222222214,0.503323450790688,1256,1676
Baseline,LatencyHopRatio,2.71248085106383,2.274,2.1190494482309914,235,1676
Baseline,ConsistencyScore,9.99998999939855e-07,9.99998999939855e-07,0.0,836,1676
Baseline,TunnelIntensity,,,,0,1676
Baseline,TunnelBytes,,,,0,1676
Baseline,TunnelLatency,,,,0,1676
Blackhole,ForwardingRatio,0.005524856353596685,0.0,0.005524850828745856,181,717
Blackhole,IngressEgressDelta,0.2510460251046025,0.0,0.18828451882845187,717,717
Blackhole,RetryRate,0.0,0.0,0.0,717,717
Blackhole,PDR,0.49295774647887325,0.0,0.25065648126044404,355,717
Blackhole,ParentSwitchRate,0.0,0.0,0.0,717,717
Blackhole,HopChangeCount,0.0,0.0,0.0,717,717
Blackhole,HopStabilityDuration,0.8852161785216138,0.8999999999999773,0.0015967758272749778,717,717
Blackhole,RSSI_mean,-43.45619180633147,-49.0,166.31585001535748,537,717
Blackhole,RSSI_var,0.14006884179623602,0.0,0.6097497125328588,717,717
Blackhole,RSSI_stability,0.6613668061366822,0.8999999999999773,0.14857522420389133,717,717
Blackhole,RSSI_Hop_Diff,0.2573815435547279,0.0,0.3077788567786799,537,717
Blackhole,LatencyHopRatio,5.327501792114695,4.995666666666667,1.995528675419459,93,717
Blackhole,ConsistencyScore,0.9944751436464033,1.0,0.005524850828745857,181,717
Blackhole,TunnelIntensity,,,,0,717
Blackhole,TunnelBytes,,,,0,717
Blackhole,TunnelLatency,,,,0,717
