feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,0.8449189411773156,0.999999000001,0.13114696587788063,0.0,0.999999000001,1122,2644,0.5756429652042361
IngressEgressDelta,0.06580937972768533,0.0,0.061501766147326054,0.0,1.0,2644,2644,0.0
RetryRate,0.0,0.0,0.0,0.0,0.0,1786,2644,0.3245083207261724
PDR,0.86707410236822,1.0,0.11534472003980908,0.0,1.0,1309,2644,0.5049167927382754
ParentSwitchRate,0.0,0.0,0.0,0.0,0.0,2644,2644,0.0
HopChangeCount,0.0,0.0,0.0,0.0,0.0,2644,2644,0.0
HopStabilityDuration,0.9998865355521935,1.0,1.1337858745992461e-05,0.9,1.0,2644,2644,0.0
RSSI_mean,-61.804913991146975,-64.0,29.77804706174576,-70.3,-53.0,1983,2644,0.25
RSSI_var,0.08768135634373657,0.0,0.08069315045403172,0.0,7.290000000000002,2644,2644,0.0
RSSI_stability,0.6749621785173886,0.8999999999999773,0.15191921915166126,0.0,0.9000000000000057,2644,2644,0.0
RSSI_Hop_Diff,0.6389841429932205,0.4000000000000057,0.41088820086091077,0.0,6.299999999999997,1983,2644,0.25
LatencyHopRatio,9.749322466960354,4.677,736.1484219276693,0.0,403.79833333333335,1135,2644,0.5707261724659607
ConsistencyScore,0.15508105882268444,9.99998999939855e-07,0.13114696587788063,9.99998999939855e-07,1.0,1122,2644,0.5756429652042361
TunnelIntensity,,,,,,0,2644,1.0
TunnelBytes,,,,,,0,2644,1.0
TunnelLatency,,,,,,0,2644,1.0
