label,node_role,feature,mean,median,variance,n_valid,n_total
Baseline,blackhole,ForwardingRatio,0.9999990000010003,0.999999000001,1.1120216906982029e-31,414,420
Baseline,blackhole,IngressEgressDelta,0.0,0.0,0.0,420,420
Baseline,blackhole,RetryRate,0.0,0.0,0.0,414,420
Baseline,blackhole,ParentSwitchRate,0.0,0.0,0.0,420,420
Baseline,blackhole,HopChangeCount,0.0,0.0,0.0,420,420
Baseline,blackhole,HopStabilityDuration,1.0,1.0,0.0,420,420
Baseline,blackhole,RSSI_mean,-54.458333333333336,-54.4,0.19265115354017495,420,420
Baseline,blackhole,RSSI_var,0.10369047619047618,0.0,0.042641001818388445,420,420
Baseline,blackhole,RSSI_stability,0.8999999999999904,0.8999999999999773,2.002092264353907e-28,420,420
Baseline,blackhole,RSSI_Hop_Diff,0.38976190476190475,0.3999999999999986,0.043785146039322764,420,420
Baseline,blackhole,ConsistencyScore,9.99998999939855e-07,9.99998999939855e-07,0.0,414,420
Baseline,child,ForwardingRatio,0.9999990000010003,0.999999000001,1.1120216906982029e-31,414,840
Baseline,child,IngressEgressDelta,0.0,0.0,0.0,840,840
Baseline,child,RetryRate,0.0,0.0,0.0,834,840
Baseline,child,PDR,1.0,1.0,0.0,834,840
Baseline,child,ParentSwitchRate,0.0,0.0,0.0,840,840
Baseline,child,HopChangeCount,0.0,0.0,0.0,840,840
Baseline,child,HopStabilityDuration,0.9998809523809523,1.0,1.1904761904761893e-05,840,840
Baseline,child,RSSI_mean,-65.38591269841271,-65.0,4.2090914716436165,840,840
Baseline,child,RSSI_var,0.12425264550264549,0.0,0.1476142526673996,840,840
Baseline,child,RSSI_stability,0.8999999999999904,0.8999999999999773,1.999705980367788e-28,840,840
Baseline,child,RSSI_Hop_Diff,0.8602777777777779,0.8499999999999943,0.632116463603056,840,840
Baseline,child,LatencyHopRatio,9.757722222222222,3.0794999999999995,983.5340079562266,834,840
Baseline,child,ConsistencyScore,9.99998999939855e-07,9.99998999939855e-07,0.0,414,840
Baseline,root,IngressEgressDelta,0.0,0.0,0.0,420,420
Baseline,root,RetryRate,0.0,0.0,,1,420
Baseline,root,ParentSwitchRate,0.0,0.0,0.0,420,420
Baseline,root,HopChangeCount,0.0,0.0,0.0,420,420
Baseline,root,HopStabilityDuration,1.0,1.0,0.0,420,420
Baseline,root,RSSI_var,0.0,0.0,0.0,420,420
Baseline,root,RSSI_stability,0.0,0.0,0.0,420,420
Blackhole,blackhole,ForwardingRatio,0.0,0.0,0.0,174,180
Blackhole,blackhole,IngressEgressDelta,0.9666666666666667,1.0,0.0324022346368715,180,180
Blackhole,blackhole,ParentSwitchRate,0.0,0.0,0.0,180,180
Blackhole,blackhole,HopChangeCount,0.0,0.0,0.0,180,180
Blackhole,blackhole,HopStabilityDuration,1.0,1.0,0.0,180,180
Blackhole,blackhole,RSSI_mean,-54.48944444444444,-54.5,0.17603320918684037,180,180
Blackhole,blackhole,RSSI_var,0.08594444444444443,0.0,0.010719214773432647,180,180
Blackhole,blackhole,RSSI_stability,0.8999999999999773,0.8999999999999773,0.0,180,180
Blackhole,blackhole,RSSI_Hop_Diff,0.37833333333333347,0.3999999999999986,0.04014245810055871,180,180
Blackhole,blackhole,ConsistencyScore,1.0,1.0,0.0,174,180
Blackhole,child,IngressEgressDelta,0.0,0.0,0.0,360,360
Blackhole,child,RetryRate,0.0,0.0,0.0,354,360
Blackhole,child,PDR,0.5084745762711864,1.0,0.25063619340279447,354,360
Blackhole,child,ParentSwitchRate,0.0,0.0,0.0,360,360
Blackhole,child,HopChangeCount,0.0,0.0,0.0,360,360
Blackhole,child,HopStabilityDuration,1.0,1.0,0.0,360,360
Blackhole,child,RSSI_mean,-65.95277777777778,-66.2,3.9960368307025687,360,360
Blackhole,child,RSSI_var,0.05894444444444444,0.0,0.019378826988548432,360,360
Blackhole,child,RSSI_stability,0.8999999999999773,0.8999999999999773,0.0,360,360
Blackhole,child,RSSI_Hop_Diff,0.5683333333333362,0.25,0.39570752089136785,360,360
Blackhole,child,LatencyHopRatio,7.814755555555555,7.7455,4.072542923153321,180,360
Blackhole,root,IngressEgressDelta,0.0,0.0,0.0,180,180
Blackhole,root,RetryRate,0.0,0.0,,1,180
Blackhole,root,ParentSwitchRate,0.0,0.0,0.0,180,180
Blackhole,root,HopChangeCount,0.0,0.0,0.0,180,180
Blackhole,root,HopStabilityDuration,1.0,1.0,0.0,180,180
Blackhole,root,RSSI_var,0.0,0.0,0.0,180,180
Blackhole,root,RSSI_stability,0.0,0.0,0.0,180,180
