feature,threshold_accuracy,nan_accuracy,coverage,excluded,majority_baseline,lift_over_majority
ForwardingRatio,1.0,0.5725,0.4175,False,0.7,0.30000000000000004
ConsistencyScore,1.0,0.5725,0.4175,False,0.7,0.30000000000000004
PDR,0.8484848484848485,0.5,0.495,False,0.7,0.14848484848484855
LatencyHopRatio,0.8205128205128205,0.5725,0.4225,False,0.7,0.12051282051282053
RetryRate,0.7786783042394014,0.6725,0.6683333333333333,False,0.7,0.07867830423940148
IngressEgressDelta,0.7725,,1.0,False,0.7,0.07250000000000001
ParentSwitchRate,0.7,,1.0,False,0.7,0.0
HopChangeCount,0.7,,1.0,False,0.7,0.0
HopStabilityDuration,0.6995833333333333,,1.0,False,0.7,-0.0004166666666666208
RSSI_var,0.6995833333333333,,1.0,False,0.7,-0.0004166666666666208
RSSI_mean,0.6994444444444444,0.6,0.75,False,0.7,-0.0005555555555555314
RSSI_Hop_Diff,0.6994444444444444,0.6,0.75,False,0.7,-0.0005555555555555314
RSSI_stability,0.6,,1.0,False,0.7,-0.09999999999999998
TunnelIntensity,,,0.0,True,0.7,
TunnelBytes,,,0.0,True,0.7,
TunnelLatency,,,0.0,True,0.7,
