timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
11510260,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11659616,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11759603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11859603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11969603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
12069822,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0
12170129,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,0,0
12269603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,0,0
12379612,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,0,0
12479607,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,0,0
12589603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,0,0
12689603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,0,0
12799604,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,0,0
12899603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,0,0
13009946,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,23,0,0
13109744,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,34,0,0
13209868,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,46,0,0
13309624,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,58,0,0
13409729,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,74,0,0
13512063,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,89,0,0
13619607,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
13719603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
13829603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
13929605,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
14039603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
14139603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
14249603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
14349605,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
14459603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
14559603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
14669603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
14769605,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
14879603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
14979603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
15089603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
15189605,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
15299603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
15399603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
15509603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
15609605,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
15719603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
15819982,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
15929603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
16029605,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
16139603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
16239603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
16349603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
16449605,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
16559603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
16659603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
16769603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
16869605,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
16979603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
17079603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,96,0,0
17189607,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,104,0,0
17289605,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,105,0,0
17399603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,105,0,0
17499603,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,105,0,0
