timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
3172024,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,0,0,0,0
3319605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,1,1,0,0
3419606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,1,1,0,0
3519601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,1,1,0,0
3629605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,1,1,0,0
3729606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,1,1,0,0
3840055,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,1,1,0,0
3939609,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,1,1,0,0
4049609,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,1,1,0,0
4149602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,1,1,0,0
4259606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
4359605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
4469601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
4569602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
4679606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
4779605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
4889601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
4989602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
5099606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
5199605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,3,3,0,0
5309601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,3,3,0,0
5409606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,3,3,0,0
5519610,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,3,3,0,0
5619601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,3,3,0,0
5729601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,3,3,0,0
5829606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,3,3,0,0
5939602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,3,3,0,0
6039601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,3,3,0,0
6149605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,3,3,0,0
6249606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,4,4,0,0
6359610,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,4,4,0,0
6459601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,4,4,0,0
6569601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,4,4,0,0
6669602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,4,4,0,0
6779606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,4,4,0,0
6879605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,4,4,0,0
6989601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,4,4,0,0
7089602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,4,4,0,0
7199606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,5,5,0,0
7299601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,5,5,0,0
7409605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,5,5,0,0
7509602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,5,5,0,0
7619602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,5,5,0,0
7719601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,5,5,0,0
7829605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,5,5,0,0
7929602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,5,5,0,0
8039606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,5,5,0,0
8139601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,5,5,0,0
8249605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,6,6,0,0
8349602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,6,6,0,0
8459606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,6,6,0,0
8559601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,6,6,0,0
8669601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,6,6,0,0
8769602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,6,6,0,0
8879606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,6,6,0,0
8979601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,6,6,0,0
9089601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,6,6,0,0
9189606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,7,7,0,0
9299602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,7,7,0,0
9399601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,7,7,0,0
9509605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,7,7,0,0
9609602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,7,7,0,0
9719602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,7,7,0,0
9819601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,7,7,0,0
9929605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-68,0,7,7,0,0
10029602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-67,0,7,7,0,0
10139602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-67,0,7,7,0,0
10239605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-67,0,8,8,0,0
10349605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-67,0,8,8,0,0
10449602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-67,0,8,8,0,0
10559602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-67,0,8,8,0,0
10659601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-67,0,8,8,0,0
10769601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-67,0,8,8,0,0
10869606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-67,0,8,8,0,0
10969605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-67,0,8,8,0,0
11069601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,8,8,0,0
11169606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,8,8,0,0
11269613,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,9,9,0,0
11379601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,9,9,0,0
11479601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,9,9,0,0
11579602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,9,9,0,0
11679601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,9,9,0,0
11779605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,9,9,0,0
11879602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,9,9,0,0
11979605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,9,9,0,0
12080032,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,9,9,0,0
12189602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,10,10,0,0
12289605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,10,10,0,0
12389593,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,10,10,0,0
12489594,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,10,10,0,0
12609606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,10,10,0,0
12709601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,10,10,0,0
12819605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,10,10,0,0
12919601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,10,10,0,0
13019602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-70,0,10,10,0,0
13119609,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,10,10,0,0
13229605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,10,10,0,0
13329610,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,11,11,0,0
13429597,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,11,11,0,0
13529605,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,11,11,0,0
13639601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,11,11,0,0
13739602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,11,11,0,0
13849609,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,11,11,0,0
13949593,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,11,11,0,0
14049606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,11,11,0,0
14149601,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,11,11,0,0
14249609,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,11,11,0,0
14349598,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,12,12,0,0
14459606,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,12,12,0,0
14559593,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,12,12,0,0
14659593,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,12,12,0,0
14759602,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,12,12,0,0
14859597,NODE_20500DE71C38,victim,6,F4:2D:C9:73:E6:19,-69,0,12,12,0,0
