timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
4306167,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-78,0,0,0,0,0
4449606,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-81,0,1,1,0,0
4549601,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-81,0,1,1,0,0
4649605,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-81,0,1,1,0,0
4769609,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-82,0,1,1,0,0
4869606,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-82,0,1,1,0,0
4979606,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-80,0,1,1,0,0
5079605,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-80,0,1,1,0,0
5179605,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-80,0,1,1,0,0
5279610,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-79,0,1,1,0,0
5389605,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-79,0,2,2,0,0
5489601,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-79,0,2,2,0,0
5599609,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-78,0,2,2,0,0
5699606,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-78,0,2,2,3,0
5799609,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-78,0,2,2,3,0
5899613,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-78,0,2,2,3,0
6009606,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-78,0,2,2,3,0
6109605,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-78,0,2,2,3,0
6209609,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-77,0,2,2,3,0
6309671,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-77,0,2,2,3,0
6419606,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-77,0,3,3,3,0
6519601,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-77,0,3,3,3,0
6629609,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-78,0,3,3,3,0
6729602,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-78,0,3,3,3,0
6829605,NODE_704BCA25B768,victim,4,20:50:0D:E7:1C:39,-78,0,3,3,3,0
