timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2649386,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,0,0,0,0
2789609,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,1,1,0,0
2889616,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,1,1,0,0
2989600,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,1,1,0,0
3099604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,1,1,0,0
3199609,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-67,0,1,1,0,0
3309604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-67,0,1,1,0,0
3409600,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-67,0,1,1,0,0
3519616,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-67,0,1,1,0,0
3619601,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-67,0,1,1,0,0
3729608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-67,0,2,2,0,0
3829608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,2,2,0,0
3939604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,2,2,0,0
4039601,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,2,2,0,0
4149616,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,2,2,0,0
4249600,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,2,2,0,0
4359608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,2,2,0,0
4459613,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,2,2,0,0
4569604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,2,2,0,0
4669604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,3,3,0,0
4779612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,3,3,0,0
4879601,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,3,3,0,0
4989608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,3,3,0,0
5089612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,3,3,0,0
5199604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,3,3,0,0
5299601,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,3,3,0,0
5409616,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,3,3,0,0
5509600,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,3,3,0,0
5619604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,3,3,0,0
5719605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,4,4,0,0
5829608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,4,4,0,0
5929604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,4,4,0,0
6039616,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,4,4,0,0
6139605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,4,4,0,0
6249608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,4,4,0,0
6349612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,4,4,0,0
6459604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,4,4,0,0
6559609,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,4,4,0,0
6669608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,5,5,0,0
6769604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,5,5,0,0
6879616,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,5,5,0,0
6979605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,5,5,0,0
7089604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,5,5,0,0
7189612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,5,5,0,0
7299604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,5,5,0,0
7399609,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,5,5,0,0
7509615,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,5,5,0,0
7609604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,5,5,0,0
7719608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,6,6,0,0
7820058,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,6,6,0,0
7929604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,6,6,0,0
8029608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,6,6,0,0
8139616,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,6,6,0,0
8239605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,6,6,0,0
8349604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,6,6,0,0
8449612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,6,6,0,0
8559608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,6,6,0,0
8659609,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,7,7,0,0
8769612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,7,7,0,0
8869604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,7,7,0,0
8979608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-63,0,7,7,0,0
9079613,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,7,7,0,0
9189604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,7,7,0,0
9289604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,7,7,0,0
9399612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,7,7,0,0
9499605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,7,7,0,0
9609604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,7,7,0,0
9709608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,8,8,0,0
9820393,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,8,8,0,0
9919609,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,8,8,0,0
10029611,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,8,8,0,0
10129604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,8,8,0,0
10239604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,8,8,0,0
10339613,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,8,8,0,0
10449604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,8,8,0,0
10549604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,8,8,0,0
10659608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,9,9,0,0
10759605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,9,9,0,0
10869616,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,9,9,0,0
10969604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,9,9,0,0
11079608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,9,9,0,0
11179613,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,9,9,0,0
11289607,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,9,9,0,0
11389608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,9,9,0,0
11499612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,9,9,0,0
11599605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,9,9,0,0
11709608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,10,10,0,0
11809612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,10,10,0,0
11919604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,10,10,0,0
12019605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,10,10,0,0
12129612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,10,10,0,0
12229604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,10,10,0,0
12339604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,10,10,0,0
12439613,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,10,10,0,0
12549604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,10,10,0,0
12650376,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,10,10,0,0
12759616,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,11,11,0,0
12859605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,11,11,0,0
12969608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,11,11,0,0
13069612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,11,11,0,0
13179604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,11,11,0,0
13279605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,11,11,0,0
13389612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,11,11,0,0
13489604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,11,11,0,0
13599604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,11,11,0,0
13699609,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,12,12,0,0
13809608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,12,12,0,0
13909604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,12,12,0,0
14019616,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,12,12,0,0
14119605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,12,12,0,0
14229604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,12,12,0,0
14329612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,12,12,0,0
14439612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,12,12,0,0
14539609,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,12,12,0,0
14650382,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,12,12,0,0
14749607,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,13,13,0,0
14859612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,13,13,0,0
14959605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,13,13,0,0
15069603,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,13,13,0,0
15169612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,13,13,0,0
15279608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,13,13,0,0
15379605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,13,13,0,0
15489612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,13,13,0,0
15589604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,13,13,0,0
15699608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,14,14,0,0
15799613,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,14,14,0,0
15909603,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,14,14,0,0
16009608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-66,0,14,14,0,0
16119612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,14,14,0,0
16219605,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,14,14,0,0
16329608,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,14,14,0,0
16429612,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,14,14,0,0
16539604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,14,14,0,0
16639762,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-64,0,14,14,0,0
16749611,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,15,15,0,0
16849604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,15,15,0,0
16959604,NODE_B4BFE932FE90,victim,5,70:4B:CA:25:B7:69,-65,0,15,15,0,0
