timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
7629082,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-73,0,0,0,0,0
7779608,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-73,0,1,1,0,0
7879609,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
7979600,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
8089600,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
8189601,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
8299598,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
8399604,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
8509604,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
8609605,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
8719623,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
8819676,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
8929607,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
9029601,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
9139605,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
9239600,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
9349608,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
9449671,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
9559601,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
9659605,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
9769604,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
9869733,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
9979620,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
10079604,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
10189600,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
10289673,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
10399598,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
10499604,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
10609639,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
10709609,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
10819710,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
10919604,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
11029600,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
11129673,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
11239600,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
11339625,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
11449600,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
11549605,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
11659598,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
11759600,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
11869608,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
11969593,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
12079601,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
12179717,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
12289592,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
12389605,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
12499609,NODE_F42DC973E618,victim,6,20:50:0D:E7:1C:39,-80,0,1,1,0,0
12600403,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,-80,0,2,2,0,0
12709612,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,0,2,2,0,0
12809613,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,0,2,2,0,0
12919601,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,0,2,2,0,0
13019600,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,0,2,2,0,0
13129608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,0,2,2,0,0
13229593,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,0,2,2,0,0
13339613,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,0,2,2,0,0
13439608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,0,2,2,0,0
13549600,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,0,2,2,0,0
13649605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,1,2,2,0,0
13759605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,1,2,2,0,0
13859600,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,1,2,2,0,0
13969604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,1,2,2,0,0
14069605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,1,2,2,0,0
14179605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,1,2,2,0,0
14279600,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,1,2,2,0,0
14389592,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,1,2,2,0,0
14489609,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,1,2,2,0,0
14599609,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,2,2,2,0,0
14699592,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,2,2,2,0,0
14809604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,2,2,2,0,0
14909601,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,2,2,2,0,0
15019598,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,2,2,2,0,0
15119604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,2,2,2,0,0
15229608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,2,2,2,0,0
15329601,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,2,2,2,0,0
15439602,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,2,2,2,0,0
15539608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,2,2,2,0,0
15649604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,3,2,2,0,0
15749605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,3,2,2,0,0
15859609,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,3,2,2,0,0
15959600,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,3,2,2,0,0
16069608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,3,2,2,0,0
16169605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,3,2,2,0,0
16279602,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,3,2,2,0,0
16379612,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,3,2,2,0,0
16489612,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,3,2,2,0,0
16589605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,4,2,2,0,0
16699605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,4,2,2,0,0
16799604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,4,2,2,0,0
16909604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,4,2,2,0,0
17009601,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,4,2,2,0,0
17119609,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,4,2,2,0,0
17219592,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,4,2,2,0,0
17329604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,4,2,2,0,0
17429601,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,4,2,2,0,0
17539605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,4,2,2,0,0
17639604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,5,2,2,0,0
17749596,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,5,2,2,0,0
17849613,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,5,2,2,0,0
17959609,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,5,2,2,0,0
18059604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,5,2,2,0,0
18169612,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,5,2,2,0,0
18269601,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,5,2,2,0,0
18379605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,5,2,2,0,0
18479604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,5,2,2,0,0
18589608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,6,2,2,0,0
18689593,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,6,2,2,0,0
18799605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,6,2,2,0,0
18899604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,6,2,2,0,0
19009600,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,6,2,2,0,0
19109601,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,6,2,2,0,0
19219609,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,6,2,2,0,0
19319592,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,6,2,2,0,0
19429600,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,6,2,2,0,0
19529605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,6,2,2,0,0
19639605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,7,2,2,0,0
19739600,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,7,2,2,0,0
19849612,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,7,2,2,0,0
19949601,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,7,2,2,0,0
20059605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,7,2,2,0,0
20159604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,7,2,2,0,0
20269596,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,7,2,2,0,0
20369605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,7,2,2,0,0
20469612,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,7,2,2,0,0
20569604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,8,2,2,0,0
20679604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,8,2,2,0,0
20779605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,8,2,2,0,0
20879604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,8,2,2,0,0
20979604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,8,2,2,0,0
21089605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,8,2,2,0,0
21189604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,8,2,2,0,0
21299608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,8,2,2,0,0
21399608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,8,2,2,0,0
21499602,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,8,2,2,0,0
21599608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,9,2,2,0,0
21699608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,9,2,2,0,0
21799605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,9,2,2,0,0
21909612,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,9,2,2,0,0
22009604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,9,2,2,0,0
22109597,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,9,2,2,0,0
22209604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,9,2,2,0,0
22319600,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,9,2,2,0,0
22419608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,9,2,2,0,0
22529605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,9,2,2,0,0
22629608,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,10,2,2,0,0
22729592,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,10,2,2,0,0
22829605,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,10,2,2,0,0
22929604,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,10,2,2,0,0
23029612,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,10,2,2,0,0
23139600,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,10,2,2,0,0
23239609,NODE_F42DC973E618,victim,-1,00:00:00:00:00:00,0,10,2,2,0,0
