timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
12025572,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0,20:50:0D:E7:1C:38,56,-46624033
12059665,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0,F4:2D:C9:73:E6:18,82,-80799947
12061462,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0,20:50:0D:E7:1C:38,57,-47588144
12076409,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0,F4:2D:C9:73:E6:18,83,-81783204
12077239,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,0,0,20:50:0D:E7:1C:38,58,-48572370
12083351,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,6,0,0,F4:2D:C9:73:E6:18,84,-82776253
12087408,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,7,0,0,20:50:0D:E7:1C:38,59,-49562197
12100300,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,8,0,0,F4:2D:C9:73:E6:18,85,-83759304
12101047,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,9,0,0,20:50:0D:E7:1C:38,60,-50548559
12104545,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,0,0,F4:2D:C9:73:E6:18,86,-84755065
12110910,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,0,0,20:50:0D:E7:1C:38,61,-51538699
12393155,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,12,0,0,F4:2D:C9:73:E6:18,87,-85466457
12396237,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,13,0,0,20:50:0D:E7:1C:38,62,-52253373
12402472,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,14,0,0,F4:2D:C9:73:E6:18,88,-86457132
12407220,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,15,0,0,20:50:0D:E7:1C:38,63,-53242386
12413918,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,16,0,0,F4:2D:C9:73:E6:18,89,-87445688
12414905,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,17,0,0,20:50:0D:E7:1C:38,64,-54234700
12420090,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,18,0,0,F4:2D:C9:73:E6:18,90,-88439519
12432534,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,19,0,0,20:50:0D:E7:1C:38,65,-55217071
12436768,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,20,0,0,F4:2D:C9:73:E6:18,91,-89422840
12437573,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,21,0,0,20:50:0D:E7:1C:38,66,-56212042
12443504,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,0,0,F4:2D:C9:73:E6:18,92,-90416101
13004839,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,23,0,0,20:50:0D:E7:1C:38,67,-56644766
13014945,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,24,0,0,F4:2D:C9:73:E6:18,93,-90844659
13016549,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,25,0,0,20:50:0D:E7:1C:38,68,-57633056
13022388,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,26,0,0,F4:2D:C9:73:E6:18,94,-91837220
13029770,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,27,0,0,20:50:0D:E7:1C:38,69,-58619836
13052776,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,28,0,0,F4:2D:C9:73:E6:18,95,-92806837
13068550,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,29,0,0,20:50:0D:E7:1C:38,70,-59581067
13082118,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,30,0,0,F4:2D:C9:73:E6:18,96,-93777486
13086857,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,31,0,0,20:50:0D:E7:1C:38,71,-60562748
13093178,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,32,0,0,F4:2D:C9:73:E6:18,97,-94766427
13094102,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,33,0,0,20:50:0D:E7:1C:38,72,-61555504
13097664,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,34,0,0,F4:2D:C9:73:E6:18,98,-95761942
13111880,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,35,0,0,20:50:0D:E7:1C:38,73,-62537725
13118113,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,36,0,0,F4:2D:C9:73:E6:18,99,-96741491
13131857,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,37,0,0,20:50:0D:E7:1C:38,74,-63517757
13158601,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,38,0,0,F4:2D:C9:73:E6:18,100,-97701003
13173020,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,39,0,0,20:50:0D:E7:1C:38,75,-64476586
13176430,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,40,0,0,F4:2D:C9:73:E6:18,101,-98683175
13177185,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,41,0,0,20:50:0D:E7:1C:38,76,-65472424
13181295,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,42,0,0,F4:2D:C9:73:E6:18,102,-99678309
13188454,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,43,0,0,20:50:0D:E7:1C:38,77,-66461151
13202569,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,44,0,0,F4:2D:C9:73:E6:18,103,-100657039
13203463,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,45,0,0,20:50:0D:E7:1C:38,78,-67446155
13206455,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,46,0,0,F4:2D:C9:73:E6:18,104,-101653152
13211301,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,47,0,0,20:50:0D:E7:1C:38,79,-68438304
13229812,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,48,0,0,F4:2D:C9:73:E6:18,105,-102629792
13243595,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,49,0,0,20:50:0D:E7:1C:38,80,-69406010
13249246,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,50,0,0,F4:2D:C9:73:E6:18,106,-103610358
13258508,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,51,0,0,20:50:0D:E7:1C:38,81,-70391098
13272508,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,52,0,0,F4:2D:C9:73:E6:18,107,-104587097
13279121,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,53,0,0,20:50:0D:E7:1C:38,82,-71370496
13280092,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,54,0,0,F4:2D:C9:73:E6:18,108,-105579512
13284580,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,55,0,0,20:50:0D:E7:1C:38,83,-72365025
13288062,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,56,0,0,F4:2D:C9:73:E6:18,109,-106571542
13302104,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,57,0,0,20:50:0D:E7:1C:38,84,-73347506
13308271,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,58,0,0,F4:2D:C9:73:E6:18,110,-107551486
13318438,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,59,0,0,20:50:0D:E7:1C:38,85,-74331171
13332622,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,60,0,0,F4:2D:C9:73:E6:18,111,-108526983
13335923,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,61,0,0,20:50:0D:E7:1C:38,86,-75313690
13337510,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,62,0,0,F4:2D:C9:73:E6:18,112,-109522094
13341819,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,63,0,0,20:50:0D:E7:1C:38,87,-76307787
13348393,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,64,0,0,F4:2D:C9:73:E6:18,113,-110511213
13362921,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,65,0,0,20:50:0D:E7:1C:38,88,-77286684
13364054,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,66,0,0,F4:2D:C9:73:E6:18,114,-111496336
13368493,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,67,0,0,20:50:0D:E7:1C:38,89,-78281117
13372347,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,68,0,0,F4:2D:C9:73:E6:18,115,-112487269
13380436,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,69,0,0,20:50:0D:E7:1C:38,90,-79269178
13382704,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,70,0,0,F4:2D:C9:73:E6:18,116,-113477006
13392058,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,71,0,0,20:50:0D:E7:1C:38,91,-80257547
13395845,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,72,0,0,F4:2D:C9:73:E6:18,117,-114463763
13401056,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,73,0,0,20:50:0D:E7:1C:38,92,-81248549
13408383,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,74,0,0,F4:2D:C9:73:E6:18,118,-115451225
13425869,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,75,0,0,20:50:0D:E7:1C:38,93,-82223737
13430146,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,76,0,0,F4:2D:C9:73:E6:18,119,-116429467
13434830,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,77,0,0,20:50:0D:E7:1C:38,94,-83234777
13435607,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,78,0,0,F4:2D:C9:73:E6:18,120,-117424011
13439101,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,79,0,0,20:50:0D:E7:1C:38,95,-84230504
13456054,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,80,0,0,F4:2D:C9:73:E6:18,121,-118403550
13460856,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,81,0,0,20:50:0D:E7:1C:38,96,-85208753
