timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2846779,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-65,0,0,0,0,0
2989612,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,0,0
3089600,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,0,0
3189601,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,0,0
4109616,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-56,0,0,0,0,0
4209604,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-56,0,0,0,0,0
4649612,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-56,0,0,0,0,0
4749600,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-56,0,0,0,0,0
8129616,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,0,0
8229608,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,0,0
13749616,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,3,0
13849600,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,3,0
16909616,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,3,0
17009600,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,3,0
20259616,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,3,0
20359600,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,3,0
23079616,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,3,0
23179608,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,3,0
24899616,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,3,0
24999600,NODE_20500DE71C38,blackhole,3,F4:2D:C9:73:E6:19,-55,0,0,0,3,0
