timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2732509,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-62,0,0,0,0,0
2879614,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-62,0,1,1,0,0
2979603,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-62,0,1,1,0,0
3079606,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-62,0,1,1,0,0
3859605,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-61,0,2,2,0,0
3959602,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-61,0,2,2,0,0
6029615,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-70,0,4,4,0,0
6129606,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-70,0,4,4,0,0
6649614,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-66,0,4,4,0,0
6749607,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-66,0,4,4,0,0
8669615,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-64,0,6,6,0,0
8769602,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-64,0,6,6,0,0
10549615,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-68,0,8,8,0,0
10649602,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-68,0,8,8,0,0
11379615,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-67,0,9,9,0,0
11479606,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-69,0,9,9,0,0
11789614,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-63,0,9,9,0,0
11889606,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-63,0,10,10,0,0
13499615,NODE_704BCA25B768,victim,2,B0:CB:D8:F3:32:19,-59,0,11,11,0,0
