timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2776807,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-76,0,0,0,0,0
2919609,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-77,0,1,1,0,0
3019600,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-77,0,1,1,0,0
3119604,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-77,0,1,1,0,0
3239596,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-76,0,1,1,0,0
3339613,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-76,0,1,1,0,0
3449602,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-76,0,1,1,0,0
3549600,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-76,0,1,1,0,0
3659604,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-76,0,1,1,0,0
3759602,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-76,0,1,1,0,0
3859604,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-77,0,2,2,0,0
3959608,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-77,0,2,2,0,0
4059598,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-77,0,2,2,0,0
4159600,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-77,0,2,2,0,0
4259604,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-77,0,2,2,0,0
4359605,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-77,0,2,2,0,0
4469598,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-75,0,2,2,0,0
4569608,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-75,0,2,2,0,0
4679596,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-75,0,2,2,0,0
4780396,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-77,0,2,2,0,0
4889610,NODE_B4BFE932FE90,victim,5,B4:BF:E9:34:ED:81,-77,0,3,3,0,0
