timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2949450,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,0,0,0,0
3089612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,1,1,0,0
3189606,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,1,1,0,0
3289600,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,1,1,0,0
4019608,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,2,2,0,0
4119600,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,2,2,0,0
4669612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,2,2,0,0
4769601,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,2,2,0,0
5329612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,3,3,0,0
5429606,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,3,3,0,0
6339613,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,4,4,0,0
6439608,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,4,4,0,0
6989606,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,5,5,0,0
7089600,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,5,5,0,0
7649614,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,5,5,0,0
7749600,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,5,5,0,0
8259613,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,6,6,0,0
8360137,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,6,6,0,0
8859613,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-67,0,6,6,0,0
8959604,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-67,0,6,6,0,0
9969612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-67,0,7,7,0,0
10069610,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-67,0,8,8,0,0
10579612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,8,8,0,0
10679605,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,8,8,0,0
11179612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,9,9,0,0
11279601,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,9,9,0,0
11829612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,9,9,0,0
11929606,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,9,9,0,0
12479613,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,10,10,0,0
12579600,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,10,10,0,0
13489612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,11,11,0,0
13589600,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,11,11,0,0
14129612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,12,12,0,0
14229601,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,12,12,0,0
14779613,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,12,12,0,0
14879600,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,12,12,0,0
15389612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,13,13,0,0
15489602,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,13,13,0,0
15999612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,13,13,0,0
16099605,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,14,14,0,0
17109602,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,15,15,0,0
17209604,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,15,15,0,0
17719613,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,15,15,0,0
17820037,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,15,15,0,0
18329612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,16,16,0,0
18429610,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,16,16,0,0
18979613,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,16,16,0,0
19079604,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,17,17,0,0
19629613,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,17,17,0,0
19729600,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,17,17,0,0
20639612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,18,18,0,0
20739600,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,18,18,0,0
21289608,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,19,19,0,0
21389609,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,19,19,0,0
21939612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,19,19,0,0
22039602,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-65,0,19,19,0,0
22549612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-63,0,20,20,0,0
22649601,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-63,0,20,20,0,0
23149604,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,20,20,0,0
23249606,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-66,0,20,20,0,0
24259612,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-67,0,21,21,0,0
24359596,NODE_F42DC973E618,victim,5,28:05:A5:32:D7:B5,-67,0,22,22,0,0
