timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2647770,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,0,0,0,0
2789612,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,1,1,0,0
2889611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-72,0,1,1,0,0
2989603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,1,1,0,0
3129607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-79,0,1,1,0,0
3229615,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-79,0,1,1,0,0
3339608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-67,0,1,1,0,0
3439611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-72,0,1,1,0,0
3539611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-72,0,1,1,0,0
3639608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,1,1,0,0
3749612,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,2,2,0,0
3849607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-68,0,2,2,0,0
3959603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-67,0,2,2,0,0
4059612,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-66,0,2,2,0,0
4159611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-66,0,2,2,0,0
4259607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,2,2,0,0
4359608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-68,0,2,2,0,0
4459603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,2,2,0,0
4569607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-68,0,2,2,0,0
4669607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-68,0,3,3,0,0
4769604,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,3,3,0,0
4869603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,3,3,0,0
4969611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-68,0,3,3,0,0
5069612,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,3,3,0,0
5179611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,3,3,0,0
5279607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,3,3,0,0
5379604,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-68,0,3,3,0,0
5479603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,3,3,0,0
5589611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-71,0,3,3,0,0
5689607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,4,4,0,0
5799608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-68,0,4,4,0,0
5899611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-68,0,4,4,0,0
5999603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-68,0,4,4,0,0
6099612,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,4,4,0,0
6199611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,4,4,0,0
6299603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-73,0,4,4,0,0
6409603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,4,4,0,0
6509608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-73,0,4,4,0,0
6609611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-72,0,4,4,0,0
6709611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-72,0,5,5,0,0
6820057,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-79,0,5,5,0,0
6919603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-71,0,5,5,0,0
7029603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-67,0,5,5,0,0
7129611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-67,0,5,5,0,0
7229612,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,5,5,0,0
7329607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,5,5,0,0
7429607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-66,0,5,5,0,0
7529608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-66,0,5,5,0,0
7639603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-67,0,5,5,0,0
7739611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-67,0,6,6,0,0
7839604,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,6,6,0,0
7939603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-74,0,6,6,0,0
8039607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-79,0,6,6,0,0
8139612,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-77,0,6,6,0,0
8249616,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-77,0,6,6,0,0
8349611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-77,0,6,6,0,0
8449603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-78,0,6,6,0,0
8549604,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-74,0,6,6,0,0
8660392,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-74,0,6,6,0,0
8759611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-76,0,7,7,0,0
8869607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-77,0,7,7,0,0
8969608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-81,0,7,7,0,0
9069615,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-81,0,7,7,0,0
9169603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-74,0,7,7,0,0
9269604,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-73,0,7,7,0,0
9369611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-73,0,7,7,0,0
9479607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-71,0,7,7,0,0
9579604,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,7,7,0,0
9679607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,8,8,0,0
9779607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,8,8,0,0
9889603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,8,8,0,0
9989608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,8,8,0,0
10099611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,8,8,0,0
10199603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,8,8,0,0
10299608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,8,8,0,0
10399603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,8,8,0,0
10499607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,8,8,0,0
10599608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,8,8,0,0
10709612,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,9,9,0,0
10809603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,9,9,0,0
10909607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,9,9,0,0
11009604,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,9,9,0,0
11119611,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,9,9,0,0
11219603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-69,0,9,9,0,0
11319608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-70,0,9,9,0,0
11419607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-72,0,9,9,0,0
11519607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-72,0,9,9,0,0
11619604,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-72,0,9,9,0,0
11729612,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-66,0,10,10,0,0
11829607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-66,0,10,10,0,0
11939607,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-66,0,10,10,0,0
12039608,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-72,0,10,10,0,0
12139688,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-72,0,10,10,0,0
12239603,NODE_704BCA25B768,victim,3,20:50:0D:E7:0C:81,-72,0,10,10,0,0
