timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
9658800,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
9809834,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
9909645,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
10009636,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
10109642,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
10219646,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
10319648,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
10429641,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
10529642,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
10639646,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
10749641,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
10849641,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
10959645,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11059646,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11169641,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11269645,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11379645,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11479646,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11589641,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11689645,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11799641,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
11899646,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,0,0
