timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
52645676,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,0,0,0,0
52799618,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,1,1,0,0
52899605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,1,1,0,0
52999601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,1,1,0,0
53119613,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,1,1,0,0
53219610,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,1,1,0,0
53329602,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,1,1,0,0
53429605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,1,1,0,0
53529601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,1,1,0,0
53629610,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,1,1,0,0
53739608,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
53839605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
53949601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
54049606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
54149962,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
54249605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
54359610,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
54459601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
54559601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
54659610,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,2,2,0,0
54769614,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,3,3,0,0
54869605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,3,3,0,0
54979605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,3,3,0,0
55079606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-68,0,3,3,0,0
55179609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,3,3,0,0
55279609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,3,3,0,0
55379606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,3,3,0,0
55479601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,3,3,0,0
55589605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,3,3,0,0
55689613,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,4,4,0,0
55799606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,4,4,0,0
55899609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,4,4,0,0
55999601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,4,4,0,0
56099606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,4,4,0,0
56209614,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,4,4,0,0
56309601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,4,4,0,0
56409605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,4,4,0,0
56509606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,4,4,0,0
56619605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,4,4,0,0
56719613,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,5,5,0,0
56820056,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,5,5,0,0
56919605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,5,5,0,0
57019609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,5,5,0,0
57119606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,5,5,0,0
57219609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,5,5,0,0
57319609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,5,5,0,0
57429601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,5,5,0,0
57529606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,5,5,0,0
57639605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,5,5,0,0
57739613,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,6,6,0,0
57849605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,6,6,0,0
57949602,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,6,6,0,0
58049609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,6,6,0,0
58149601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,6,6,0,0
58249602,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,6,6,0,0
58349609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,6,6,0,0
58459601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,6,6,0,0
58559602,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,6,6,0,0
58659613,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,6,6,0,0
58759609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,7,7,0,0
58869605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,7,7,0,0
58969614,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,7,7,0,0
59079601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,7,7,0,0
59179605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,7,7,0,0
59279606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,7,7,0,0
59379601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,7,7,0,0
59489605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,7,7,0,0
59589605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,7,7,0,0
59689606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,8,8,0,0
59789605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,8,8,0,0
59899613,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,8,8,0,0
59999602,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,8,8,0,0
60109602,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,8,8,0,0
60209609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,8,8,0,0
60309601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,8,8,0,0
60409602,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,8,8,0,0
60509617,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,8,8,0,0
60609601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,8,8,0,0
60719616,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,8,9,0,0
60820071,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,9,9,0,0
60939601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,9,9,0,0
61039605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,9,9,0,0
61149613,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,9,9,0,0
61249602,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,9,9,0,0
61349605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,9,9,0,0
61449609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,9,9,0,0
61549602,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,9,9,0,0
61649605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,9,9,0,0
61759609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,10,10,0,0
61859606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,10,10,0,0
61969606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,10,10,0,0
62069609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,10,10,0,0
62169601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,10,10,0,0
62269602,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,10,10,0,0
62379609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,10,10,0,0
62479601,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-67,0,10,10,0,0
62579606,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,10,10,0,0
62679609,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,10,10,0,0
62789613,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,11,11,0,0
62889605,NODE_20500DE70C80,blackhole,3,F4:2D:C9:73:E6:19,-66,0,11,11,0,0
