run_id,node_id,segment,probes_sent,probes_delivered,pdr
linear_blackhole_20260917_125131,NODE_20500DE70C80,pre_baseline,163,60,0.3681
linear_blackhole_20260917_125131,NODE_20500DE70C80,baseline,299,299,1.0
linear_blackhole_20260917_125131,NODE_20500DE70C80,attack,177,0,0.0
linear_blackhole_20260917_125131,NODE_20500DE70C80,cooldown,120,120,1.0
linear_blackhole_20260917_125131,NODE_F42DC973E618,pre_baseline,144,61,0.4236
linear_blackhole_20260917_125131,NODE_F42DC973E618,baseline,299,299,1.0
linear_blackhole_20260917_125131,NODE_F42DC973E618,attack,180,0,0.0
linear_blackhole_20260917_125131,NODE_F42DC973E618,cooldown,121,121,1.0
linear_blackhole_20260918_095950,NODE_2805A532D7B4,pre_baseline,936,67,0.0716
linear_blackhole_20260918_095950,NODE_2805A532D7B4,baseline,300,300,1.0
linear_blackhole_20260918_095950,NODE_2805A532D7B4,attack,180,0,0.0
linear_blackhole_20260918_095950,NODE_2805A532D7B4,cooldown,121,121,1.0
linear_blackhole_20260918_095950,NODE_20500DE70C80,pre_baseline,862,68,0.0789
linear_blackhole_20260918_095950,NODE_20500DE70C80,baseline,299,299,1.0
linear_blackhole_20260918_095950,NODE_20500DE70C80,attack,181,1,0.0055
linear_blackhole_20260918_095950,NODE_20500DE70C80,cooldown,120,120,1.0
linear_blackhole_20260918_111347,NODE_704BCA25B768,baseline,3,3,1.0
linear_blackhole_20260918_111347,NODE_704BCA25B768,attack,181,0,0.0
linear_blackhole_20260918_111347,NODE_704BCA25B768,cooldown,120,120,1.0
linear_blackhole_20260918_111347,NODE_2805A532D7B4,baseline,2,2,1.0
linear_blackhole_20260918_111347,NODE_2805A532D7B4,attack,181,0,0.0
linear_blackhole_20260918_111347,NODE_2805A532D7B4,cooldown,120,120,1.0
linear_blackhole_20260918_111347,NODE_20500DE70C80,pre_baseline,117,109,0.9316
linear_blackhole_20260918_111347,NODE_20500DE70C80,baseline,286,271,0.9476
linear_blackhole_20260918_111347,NODE_20500DE70C80,attack,181,0,0.0
linear_blackhole_20260918_111347,NODE_20500DE70C80,cooldown,120,120,1.0
