source_file,source_dir,kind,node_id,role_in_rows,rows,run_id,assignment,evidence,issues
root_NODE-2805A532D7B4_linear_none_r1_20260917_124616_arrivals.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\baseline\linear\G402,arrivals,,,0,UNASSIGNED,unassigned,,EMPTY FILE (0 bytes) - card file never written/closed
root_NODE-2805A532D7B4_linear_none_r1_20260917_124616_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\baseline\linear\G402,telem,,,0,UNASSIGNED,unassigned,,EMPTY FILE (0 bytes) - card file never written/closed
root_NODE-2805A532D7B4_linear_none_r1_20260917_124617_arrivals.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\baseline\linear\G402,arrivals,NODE_2805A532D7B4,root,481,linear_none_20260917_124617,anchor,"root arrivals log, 481 probes",
root_NODE-2805A532D7B4_linear_none_r1_20260917_124617_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\baseline\linear\G402,telem,NODE_2805A532D7B4,root,4811,linear_none_20260917_124617,assigned,"same node_id, last probes_count 481 == last probes_received",
child_attacker-5_linear_blackhole_r1_20260917_120858_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_20500DE71C38,blackhole,115,UNASSIGNED,unassigned,forwarded None probes in cooldown; no root log in these folders agrees,never left phase 0 - no phase broadcast received (orphan/aborted)
root_NODE-2805A532D7B4_linear_blackhole_r1_20260917_113706_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_2805A532D7B4,root,6218,UNASSIGNED,unassigned,,
root_ROOT_linear_blackhole_r1_20260917_125123_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_B0CBD8F33218,root,6310,linear_blackhole_20260917_125131,assigned,"same node_id, last probes_count 960 == last probes_received",
root_ROOT_linear_blackhole_r1_20260917_125131_arrivals.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,arrivals,NODE_B0CBD8F33218,root,960,linear_blackhole_20260917_125131,anchor,"root arrivals log, 960 probes",
victim_NODE-20500DE70C80_linear_blackhole_r1_20260917_113807_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_20500DE70C80,victim,16954,UNASSIGNED,unassigned,"no root arrivals log carries this board's probes with a matching sequence range - its root file is missing, or none of its probes reached the root",
victim_NODE-20500DE70C80_linear_blackhole_r1_20260917_124444_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_20500DE70C80,victim,6879,linear_blackhole_20260917_125131,assigned,seq at phase exit 462 vs root's last baseline seq 462; final seq 759 vs root max 759,
