t_anchor_s,nodes,status,unresolved_parents,max_layer,layers_agree,reason,run_id
-360.0,2,OK,0,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618",linear_blackhole_20260917_125131
-359.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-358.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-357.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-356.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-355.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-354.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-353.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-352.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-351.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-350.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-349.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-348.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-347.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-346.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-345.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-344.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-343.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-342.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-341.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-340.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-339.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-338.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-337.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-336.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-335.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-334.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-333.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-332.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-331.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-330.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-329.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-328.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-327.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-326.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-325.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-324.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-323.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-322.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
-321.0,3,WARN,1,2,2/2,"chain of 2 node(s), NODE_B0CBD8F33218 .. NODE_F42DC973E618; 1 node(s) not attached to the root",linear_blackhole_20260917_125131
