timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2672850,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2819663,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
2919653,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3019657,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
3119666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
3219653,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
3319649,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
3419655,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
3519657,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
3619649,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
3719655,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
3819649,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
3919649,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
4019658,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
4119653,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4219678,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4319945,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4419649,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4519657,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4619655,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4719653,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4819649,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4919651,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
5019657,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
5119657,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5219651,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5319653,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5419653,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5519658,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5619653,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5719653,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5819651,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5919669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
6019657,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
6119658,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
6219649,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
