timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
6140105,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,0,0,F4:2D:C9:73:E6:18,84,-138809520
7030224,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,0,0,20:50:0D:E7:0C:80,104,-157849395
7141068,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,0,0,F4:2D:C9:73:E6:18,85,-138818557
8013985,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,0,0,20:50:0D:E7:0C:80,105,-157865635
8164026,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,0,0,F4:2D:C9:73:E6:18,86,-138795600
9121655,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,6,0,0,20:50:0D:E7:0C:80,106,-157757964
9143045,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,7,0,0,F4:2D:C9:73:E6:18,87,-138816576
10021158,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,8,0,0,20:50:0D:E7:0C:80,107,-157858460
10144872,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,9,0,0,F4:2D:C9:73:E6:18,88,-138814753
11034132,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,0,0,20:50:0D:E7:0C:80,108,-157845488
11142917,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,0,0,F4:2D:C9:73:E6:18,89,-138816705
12014515,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,12,0,0,20:50:0D:E7:0C:80,109,-157865103
12149870,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,13,0,0,F4:2D:C9:73:E6:18,90,-138809751
13026758,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,14,0,0,20:50:0D:E7:0C:80,110,-157852983
13137270,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,15,0,0,F4:2D:C9:73:E6:18,91,-138822351
14028632,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,16,0,0,20:50:0D:E7:0C:80,111,-157851205
14146127,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,17,0,0,F4:2D:C9:73:E6:18,92,-138813503
15021441,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,18,0,0,20:50:0D:E7:0C:80,112,-157858177
15136396,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,19,0,0,F4:2D:C9:73:E6:18,93,-138823225
16097027,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,20,0,0,20:50:0D:E7:0C:80,113,-157782587
16133808,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,21,0,0,F4:2D:C9:73:E6:18,94,-138825817
17023596,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,0,0,20:50:0D:E7:0C:80,114,-157856024
17146644,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,23,0,0,F4:2D:C9:73:E6:18,95,-138812975
18017451,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,24,0,0,20:50:0D:E7:0C:80,115,-157862163
18137875,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,25,0,0,F4:2D:C9:73:E6:18,96,-138821746
19023190,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,26,0,0,20:50:0D:E7:0C:80,116,-157856428
19151687,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,27,0,0,F4:2D:C9:73:E6:18,97,-138807934
20022510,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,28,0,0,20:50:0D:E7:0C:80,117,-157857111
20161658,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,29,0,0,F4:2D:C9:73:E6:18,98,-138797964
21010090,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,30,0,0,20:50:0D:E7:0C:80,118,-157869528
21131317,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,31,0,0,F4:2D:C9:73:E6:18,99,-138828312
22041362,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,32,0,0,20:50:0D:E7:0C:80,119,-157838256
22143500,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,33,0,0,F4:2D:C9:73:E6:18,100,-138816708
23046631,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,34,0,0,20:50:0D:E7:0C:80,120,-157832989
23154729,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,35,0,0,F4:2D:C9:73:E6:18,101,-138804893
24023516,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,36,0,0,20:50:0D:E7:0C:80,121,-157856104
24162598,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,37,0,0,F4:2D:C9:73:E6:18,102,-138797019
25021130,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,38,0,0,20:50:0D:E7:0C:80,122,-157858489
25134618,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,39,0,0,F4:2D:C9:73:E6:18,103,-138825003
26009759,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,40,0,0,20:50:0D:E7:0C:80,123,-157869861
26138864,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,41,0,0,F4:2D:C9:73:E6:18,104,-138820758
27029810,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,42,0,0,20:50:0D:E7:0C:80,124,-157849808
27143414,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,43,0,0,F4:2D:C9:73:E6:18,105,-138816207
28042304,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,44,0,0,20:50:0D:E7:0C:80,125,-157847318
28146259,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,45,0,0,F4:2D:C9:73:E6:18,106,-138813371
29025851,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,46,0,0,20:50:0D:E7:0C:80,126,-157863765
29166825,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,47,0,0,F4:2D:C9:73:E6:18,107,-138792801
30073190,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,48,0,0,20:50:0D:E7:0C:80,127,-157816424
30137871,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,49,0,0,F4:2D:C9:73:E6:18,108,-138821750
31029322,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,50,0,0,20:50:0D:E7:0C:80,128,-157860296
31158689,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,51,0,0,F4:2D:C9:73:E6:18,109,-138800928
