timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
40119161,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,1,1,0,0
40269645,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,1,1,0,0
40369638,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,1,1,0,0
40469641,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,1,1,0,0
40579633,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,1,1,0,0
40679634,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,1,1,0,0
40789638,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-73,0,1,1,0,0
40889637,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-73,0,1,1,0,0
40999641,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-73,0,1,1,0,0
41099642,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-77,0,1,1,0,0
41209646,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-77,0,2,2,0,0
41309645,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-77,0,2,2,0,0
41419645,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-80,0,2,2,0,0
41519630,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-80,0,2,2,0,0
41629634,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-80,0,2,2,0,0
41729641,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,2,2,0,0
41839629,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,2,2,0,0
41939630,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,2,2,0,0
42049642,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-74,0,2,2,0,0
42149641,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-74,0,3,3,0,0
42259645,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-73,0,3,3,0,0
42359638,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-73,0,3,3,0,0
42469634,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-73,0,3,3,0,0
42569641,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,3,3,0,0
42679633,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,3,3,0,0
42779634,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,3,3,0,0
42889642,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-77,0,3,3,0,0
42989629,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-77,0,3,3,0,0
43099629,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-77,0,3,3,0,0
43199646,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,4,4,0,0
43309642,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,4,4,0,0
43409629,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,4,4,0,0
43519645,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,4,4,0,0
43619630,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,4,4,0,0
43729630,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,4,4,0,0
43829645,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,4,4,0,0
43939629,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,4,4,0,0
44039630,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-76,0,4,4,0,0
44149646,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,5,5,0,0
44249641,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,5,5,0,0
44359637,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,5,5,0,0
44459642,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,5,5,0,0
44569630,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,5,5,0,0
44669633,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,5,5,0,0
44779645,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-74,0,5,5,0,0
44879646,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-74,0,5,5,0,0
44989802,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-74,0,5,5,0,0
45089641,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,5,5,0,0
45199645,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,6,6,0,0
45299630,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,6,6,0,0
45409646,NODE_B4BFE934ED80,victim,5,B4:BF:E9:32:FE:91,-75,0,6,6,0,0
