timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
4769567,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,1,1,0,0
4919558,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,1,1,0,0
5019552,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,1,1,0,0
5119538,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,1,1,0,0
5229550,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,1,1,0,0
5329555,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,1,1,0,0
5439560,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-76,0,1,1,0,0
5539550,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-76,0,1,1,0,0
5649550,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-76,0,1,1,0,0
5749551,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-76,0,1,1,0,0
5869555,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-76,0,2,2,0,0
5969554,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-76,0,2,2,0,0
6079550,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-76,0,2,2,0,0
6179554,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-76,0,2,2,0,0
6289551,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-76,0,2,2,0,0
6390347,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,2,2,0,0
6499550,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,2,2,0,0
6599538,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,2,2,0,0
6709547,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,2,2,0,0
6809554,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,3,3,0,0
6929550,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,3,3,0,0
7029550,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,3,3,0,0
7139554,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,3,3,0,0
7239552,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,3,3,0,0
7349550,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-75,0,3,3,0,0
7449558,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-74,0,3,3,0,0
7559538,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-74,0,3,3,0,0
7659552,NODE_F42DC973E618,victim,8,20:50:0D:E7:1C:39,-74,0,3,3,0,0
