label,node_role,feature,mean,median,variance,n_valid,n_total
Baseline,blackhole,ForwardingRatio,0.9999990000010003,0.999999000001,1.1120087459139563e-31,416,421
Baseline,blackhole,IngressEgressDelta,0.0,0.0,0.0,421,421
Baseline,blackhole,RetryRate,0.0,0.0,0.0,416,421
Baseline,blackhole,ParentSwitchRate,0.0,0.0,0.0,421,421
Baseline,blackhole,HopChangeCount,0.0,0.0,0.0,421,421
Baseline,blackhole,HopStabilityDuration,0.9997624703087885,1.0,2.375296912114011e-05,421,421
Baseline,blackhole,RSSI_mean,-58.22114014251781,-58.0,0.16838536364664627,421,421
Baseline,blackhole,RSSI_var,0.01375296912114014,0.0,0.0025425483542585686,421,421
Baseline,blackhole,RSSI_stability,0.8997624703087733,0.8999999999999773,2.375296912115453e-05,421,421
Baseline,blackhole,RSSI_Hop_Diff,0.23064133016627078,0.0,0.16408268295441694,421,421
Baseline,blackhole,ConsistencyScore,9.99998999939855e-07,9.99998999939855e-07,0.0,416,421
Baseline,child,ForwardingRatio,0.9999990000010003,0.999999000001,0.004819267469893976,416,841
Baseline,child,IngressEgressDelta,0.0023781212841854932,0.0,0.002375290187418606,841,841
Baseline,child,RetryRate,0.0,0.0,0.0,838,841
Baseline,child,PDR,0.9988066825775657,1.0,0.0011933174224343678,838,841
Baseline,child,ParentSwitchRate,0.0,0.0,0.0,841,841
Baseline,child,HopChangeCount,0.0,0.0,0.0,841,841
Baseline,child,HopStabilityDuration,1.0,1.0,0.0,841,841
Baseline,child,RSSI_mean,-69.30190249702734,-68.5,9.873972566672329,841,841
Baseline,child,RSSI_var,0.32902497027348393,0.0,1.2306511910424098,841,841
Baseline,child,RSSI_stability,0.8932223543400553,0.8999999999999773,0.0015611516901645759,841,841
Baseline,child,RSSI_Hop_Diff,1.2781212841854936,1.0,1.635163609082159,841,841
Baseline,child,LatencyHopRatio,8.556753086419752,2.849,614.2628301239687,837,841
Baseline,child,ConsistencyScore,0.00480868269131725,9.99998999939855e-07,0.004796088322564041,416,841
Baseline,root,IngressEgressDelta,0.0,0.0,0.0,420,420
Baseline,root,RetryRate,0.0,0.0,,1,420
Baseline,root,ParentSwitchRate,0.0,0.0,0.0,420,420
Baseline,root,HopChangeCount,0.0,0.0,0.0,420,420
Baseline,root,HopStabilityDuration,1.0,1.0,0.0,420,420
Baseline,root,RSSI_var,0.0,0.0,0.0,420,420
Baseline,root,RSSI_stability,0.0,0.0,0.0,420,420
Blackhole,blackhole,ForwardingRatio,0.0,0.0,0.0,177,180
Blackhole,blackhole,IngressEgressDelta,0.9833333333333333,1.0,0.01648044692737431,180,180
Blackhole,blackhole,ParentSwitchRate,0.0,0.0,0.0,180,180
Blackhole,blackhole,HopChangeCount,0.0,0.0,0.0,180,180
Blackhole,blackhole,HopStabilityDuration,1.0,1.0,0.0,180,180
Blackhole,blackhole,RSSI_mean,-58.01111111111111,-58.0,0.007697082557417755,180,180
Blackhole,blackhole,RSSI_var,0.0033333333333333314,0.0,0.0005720670391061451,180,180
Blackhole,blackhole,RSSI_stability,0.8999999999999773,0.8999999999999773,0.0,180,180
Blackhole,blackhole,RSSI_Hop_Diff,0.011111111111111112,0.0,0.00769708255741775,180,180
Blackhole,blackhole,ConsistencyScore,1.0,1.0,0.0,177,180
Blackhole,child,IngressEgressDelta,0.0,0.0,0.0,360,360
Blackhole,child,RetryRate,0.0,0.0,0.0,356,360
Blackhole,child,PDR,0.5056179775280899,1.0,0.2506725747744896,356,360
Blackhole,child,ParentSwitchRate,0.0,0.0,0.0,360,360
Blackhole,child,HopChangeCount,0.0,0.0,0.0,360,360
Blackhole,child,HopStabilityDuration,1.0,1.0,0.0,360,360
Blackhole,child,RSSI_mean,-67.1425,-68.0,5.893704038997215,360,360
Blackhole,child,RSSI_var,0.11875,0.0,0.31096974233983293,360,360
Blackhole,child,RSSI_stability,0.8988888888888662,0.8999999999999773,0.0002773135252243887,360,360
Blackhole,child,RSSI_Hop_Diff,2.499722222222222,3.0,1.792896858557722,360,360
Blackhole,child,LatencyHopRatio,7.480177777777779,7.3905,5.4437990073246425,180,360
Blackhole,root,IngressEgressDelta,0.0,0.0,0.0,180,180
Blackhole,root,RetryRate,0.0,0.0,,1,180
Blackhole,root,ParentSwitchRate,0.0,0.0,0.0,180,180
Blackhole,root,HopChangeCount,0.0,0.0,0.0,180,180
Blackhole,root,HopStabilityDuration,0.9994444444444445,1.0,5.555555555555555e-05,180,180
Blackhole,root,RSSI_var,0.0,0.0,0.0,180,180
Blackhole,root,RSSI_stability,0.0,0.0,0.0,180,180
