feature,threshold_accuracy,nan_accuracy,coverage,excluded,majority_baseline,lift_over_majority
ForwardingRatio,0.9990089197224975,0.5724396336386345,0.4200666111573689,False,0.7002497918401331,0.29875912788236436
ConsistencyScore,0.9990089197224975,0.5724396336386345,0.4200666111573689,False,0.7002497918401331,0.29875912788236436
PDR,0.8484087102177554,0.5004163197335554,0.4970857618651124,False,0.7002497918401331,0.1481589183776223
LatencyHopRatio,0.8200589970501475,0.5732722731057452,0.4233971690258118,False,0.7002497918401331,0.11980920521001437
RetryRate,0.7785359801488834,0.6736053288925895,0.6711074104912573,False,0.7002497918401331,0.07828618830875023
IngressEgressDelta,0.7731057452123231,,1.0,False,0.7002497918401331,0.07285595337218997
RSSI_Hop_Diff,0.7430632630410655,0.6003330557868443,0.7502081598667777,False,0.7002497918401331,0.042813471200932374
HopStabilityDuration,0.7002497918401333,,1.0,False,0.7002497918401331,1.1102230246251565e-16
ParentSwitchRate,0.7002497918401331,,1.0,False,0.7002497918401331,0.0
HopChangeCount,0.7002497918401331,,1.0,False,0.7002497918401331,0.0
RSSI_var,0.6998334721065779,,1.0,False,0.7002497918401331,-0.0004163197335552704
RSSI_mean,0.6997780244173141,0.6003330557868443,0.7502081598667777,False,0.7002497918401331,-0.00047176742281906936
RSSI_stability,0.6003330557868443,,1.0,False,0.7002497918401331,-0.09991673605328888
TunnelIntensity,,,0.0,True,0.7002497918401331,
TunnelBytes,,,0.0,True,0.7002497918401331,
TunnelLatency,,,0.0,True,0.7002497918401331,
