feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,0.9482209702196776,0.99999950000025,0.09619619449222999,0.0,9.499995250002376,4208,5986,0.2970263949214834
IngressEgressDelta,0.22586034079518877,0.0,2.14112561725061,0.0,70.0,5986,5986,0.0
RetryRate,0.0078551167357626,0.0,0.007795114752839928,0.0,1.0,4583,5986,0.2343802205145339
PDR,0.6495338876291257,1.0,0.22769698530547228,0.0,1.0,3969,5986,0.3369528900768459
ParentSwitchRate,0.0010023387905111927,0.0,0.0010015014147463548,0.0,1.0,5986,5986,0.0
HopChangeCount,0.002171734046107584,0.0,0.002167379692130426,0.0,1.0,5986,5986,0.0
HopStabilityDuration,0.9988306047444037,1.0,0.00029270079084558467,0.5,1.0,5986,5986,0.0
RSSI_mean,-73.9705980442673,-76.0,79.50342069757612,-94.7,-56.2,5299,5986,0.11476779151353156
RSSI_var,0.46726789092570165,0.0,4.731740277923983,0.0,68.03999999999999,5986,5986,0.0
RSSI_stability,0.7881556966254474,0.8999999999999773,0.08453303907948684,0.0,0.9000000000000057,5986,5986,0.0
RSSI_Hop_Diff,2.157369300444093,1.0,9.26667820679665,0.0,16.700000000000003,5054,5986,0.15569662545940532
LatencyHopRatio,10.396731474867286,3.3638000000000003,3911.4421125063286,0.0,1522.578,2970,5986,0.5038422986969595
ConsistencyScore,0.07486266279947179,4.999997500476638e-07,0.0932721492581244,1.0101010028407131e-08,8.499995250002375,4208,5986,0.2970263949214834
TunnelIntensity,,,,,,0,5986,1.0
TunnelBytes,,,,,,0,5986,1.0
TunnelLatency,,,,,,0,5986,1.0
