label,node_role,feature,mean,median,variance,n_valid,n_total
Baseline,blackhole,ForwardingRatio,0.9952491893705975,0.99999980000004,0.0015011868788867974,421,421
Baseline,blackhole,IngressEgressDelta,0.023752969121140142,0.0,0.03752969121140142,421,421
Baseline,blackhole,RetryRate,0.0,0.0,0.0,421,421
Baseline,blackhole,ParentSwitchRate,0.0,0.0,0.0,421,421
Baseline,blackhole,HopChangeCount,0.0,0.0,0.0,421,421
Baseline,blackhole,HopStabilityDuration,1.0,1.0,0.0,421,421
Baseline,blackhole,RSSI_mean,-66.35676959619953,-66.3,0.5662219205972173,421,421
Baseline,blackhole,RSSI_var,0.1315914489311164,0.0,0.056457699355276544,421,421
Baseline,blackhole,RSSI_stability,0.8999999999999828,0.8999999999999773,1.269940450089075e-28,421,421
Baseline,blackhole,RSSI_Hop_Diff,0.5997624703087884,0.4000000000000057,0.20888089582626432,421,421
Baseline,blackhole,ConsistencyScore,0.004750810629402503,1.9999996003772225e-07,0.0015011868788867974,421,421
Baseline,child,ForwardingRatio,0.9980729245219648,0.99999950000025,0.009354543897760099,1682,2105
Baseline,child,IngressEgressDelta,0.033729216152019,0.0,0.10294925173631492,2105,2105
Baseline,child,RetryRate,0.0,0.0,0.0,1847,2105
Baseline,child,PDR,0.9994585814834868,1.0,0.0005414185165132649,1847,2105
Baseline,child,ParentSwitchRate,0.0,0.0,0.0,2105,2105
Baseline,child,HopChangeCount,0.0,0.0,0.0,2105,2105
Baseline,child,HopStabilityDuration,0.999857482185273,1.0,1.4238234151892543e-05,2105,2105
Baseline,child,RSSI_mean,-73.72729480073899,-77.0,67.93909556592287,2105,2105
Baseline,child,RSSI_var,0.4254094601331339,0.0,4.180587624455158,2105,2105
Baseline,child,RSSI_stability,0.8934916864607904,0.8999999999999773,0.0030041996694451355,2105,2105
Baseline,child,RSSI_Hop_Diff,1.635128002111375,0.7999999999999972,5.332532218650858,2105,2105
Baseline,child,LatencyHopRatio,11.205075678790394,4.724333333333333,3357.922585638098,1033,2105
Baseline,child,ConsistencyScore,0.01176796158602061,4.999997500476638e-07,0.009219692424478381,1682,2105
Baseline,root,IngressEgressDelta,0.0,0.0,0.0,419,419
Baseline,root,RetryRate,0.0,0.0,,1,419
Baseline,root,ParentSwitchRate,0.0,0.0,0.0,419,419
Baseline,root,HopChangeCount,0.0,0.0,0.0,419,419
Baseline,root,HopStabilityDuration,0.9940334128878282,1.0,0.0008973290244487325,419,419
Baseline,root,RSSI_var,0.0,0.0,0.0,419,419
Baseline,root,RSSI_stability,0.0,0.0,0.0,419,419
Blackhole,blackhole,ForwardingRatio,0.0,0.0,0.0,180,180
Blackhole,blackhole,IngressEgressDelta,4.261111111111111,4.0,0.3504345127250156,180,180
Blackhole,blackhole,ParentSwitchRate,0.0,0.0,0.0,180,180
Blackhole,blackhole,HopChangeCount,0.0,0.0,0.0,180,180
Blackhole,blackhole,HopStabilityDuration,1.0,1.0,0.0,180,180
Blackhole,blackhole,RSSI_mean,-66.74500000000002,-66.05,4.017237430167597,180,180
Blackhole,blackhole,RSSI_var,0.5539444444444445,0.0,7.4215960862818156,180,180
Blackhole,blackhole,RSSI_stability,0.8894444444444225,0.8999999999999773,0.00530695220359968,180,180
Blackhole,blackhole,RSSI_Hop_Diff,1.0705555555555548,0.5,3.063876784605838,180,180
Blackhole,blackhole,ConsistencyScore,1.0,1.0,0.0,180,180
Blackhole,child,ForwardingRatio,1.0061951265421114,0.99999950000025,0.002030651634031367,538,900
Blackhole,child,IngressEgressDelta,0.011111111111111112,0.0,0.010999876405883081,900,900
Blackhole,child,RetryRate,0.0,0.0,0.0,706,900
Blackhole,child,PDR,0.1501416430594901,0.0,0.12778012175275752,706,900
Blackhole,child,ParentSwitchRate,0.0,0.0,0.0,900,900
Blackhole,child,HopChangeCount,0.0,0.0,0.0,900,900
Blackhole,child,HopStabilityDuration,1.0,1.0,0.0,900,900
Blackhole,child,RSSI_mean,-73.52688888888889,-76.3,64.38399253491534,900,900
Blackhole,child,RSSI_var,0.5486,0.0,12.001198705228031,900,900
Blackhole,child,RSSI_stability,0.8916666666666444,0.8999999999999773,0.0051918798665179225,900,900
Blackhole,child,RSSI_Hop_Diff,1.5802222222222224,1.0,3.8952480039550124,900,900
Blackhole,child,LatencyHopRatio,11.173759334544629,2.5818000000000003,4963.857551778202,629,900
Blackhole,child,ConsistencyScore,0.006196430665659648,4.999997500476638e-07,0.002030635443816474,538,900
Blackhole,root,IngressEgressDelta,0.0,0.0,0.0,180,180
Blackhole,root,ParentSwitchRate,0.0,0.0,0.0,180,180
Blackhole,root,HopChangeCount,0.0,0.0,0.0,180,180
Blackhole,root,HopStabilityDuration,1.0,1.0,0.0,180,180
Blackhole,root,RSSI_var,0.0,0.0,0.0,180,180
Blackhole,root,RSSI_stability,0.0,0.0,0.0,180,180
