feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,0.842218339257725,0.999999000001,0.17804292911131395,0.0,7.999992000008,1388,2836,0.5105782792665726
IngressEgressDelta,0.16361071932299012,0.0,0.3069081574018105,0.0,7.0,2836,2836,0.0
RetryRate,0.007861635220125786,0.0,0.007803920016621977,0.0,1.0,1908,2836,0.3272214386459803
PDR,0.656137832017229,1.0,0.22578306144845742,0.0,1.0,1393,2836,0.5088152327221438
ParentSwitchRate,0.0007052186177715092,0.0,0.0007049698634089797,0.0,1.0,2836,2836,0.0
HopChangeCount,0.0007052186177715092,0.0,0.0007049698634089797,0.0,1.0,2836,2836,0.0
HopStabilityDuration,0.9996121297602257,1.0,7.39235776847436e-05,0.7000000000000001,1.0,2836,2836,0.0
RSSI_mean,-73.0544288928595,-77.0,105.42146828690566,-87.0,-56.0,2162,2836,0.23765867418899855
RSSI_var,0.23193044476253774,0.0,0.5660522265973658,0.0,14.639999999999995,2836,2836,0.0
RSSI_stability,0.6830747531734735,0.8999999999999773,0.1466905072847671,0.0,0.9000000000000057,2836,2836,0.0
RSSI_Hop_Diff,1.3969603137740623,0.8999999999999986,2.5709556350815297,0.0,8.799999999999997,2153,2836,0.2408321579689704
LatencyHopRatio,7.438479029905179,3.149583333333333,899.0114645737656,0.0,403.0513333333333,914,2836,0.6777150916784203
ConsistencyScore,0.17363178250022124,9.99998999939855e-07,0.17278619841374515,1.1111109865513669e-07,6.9999920000080005,1388,2836,0.5105782792665726
TunnelIntensity,,,,,,0,2836,1.0
TunnelBytes,,,,,,0,2836,1.0
TunnelLatency,,,,,,0,2836,1.0
