label,node_role,feature,mean,median,variance,n_valid,n_total
Baseline,blackhole,ForwardingRatio,1.0047500296915555,0.99999950000025,0.00831068944978721,421,421
Baseline,blackhole,IngressEgressDelta,0.011876484560570071,0.0,0.011763375183802731,421,421
Baseline,blackhole,RetryRate,0.0,0.0,0.0,421,421
Baseline,blackhole,ParentSwitchRate,0.0,0.0,0.0,421,421
Baseline,blackhole,HopChangeCount,0.0,0.0,0.0,421,421
Baseline,blackhole,HopStabilityDuration,0.9995249406175772,1.0,4.739282886551296e-05,421,421
Baseline,blackhole,RSSI_mean,-77.41602005806281,-77.2,11.529824169379197,421,421
Baseline,blackhole,RSSI_var,0.3386625025659072,0.09,0.5180257427497638,421,421
Baseline,blackhole,RSSI_stability,0.8954869358669694,0.8999999999999773,0.001193869471779164,421,421
Baseline,blackhole,RSSI_Hop_Diff,2.672340987067828,2.700000000000003,4.418190241593249,421,421
Baseline,blackhole,ConsistencyScore,0.009501723277594454,4.999997500476638e-07,0.008242808248606329,421,421
Baseline,child,ForwardingRatio,0.9999990000010003,0.999999000001,1.1123666196828049e-31,367,842
Baseline,child,IngressEgressDelta,0.0,0.0,0.0,842,842
Baseline,child,RetryRate,0.0,0.0,0.0,793,842
Baseline,child,PDR,0.9987389659520807,1.0,0.0012610340479192938,793,842
Baseline,child,ParentSwitchRate,0.0,0.0,0.0,842,842
Baseline,child,HopChangeCount,0.0,0.0,0.0,842,842
Baseline,child,HopStabilityDuration,0.9997624703087885,1.0,2.3724725400425327e-05,842,842
Baseline,child,RSSI_mean,-71.387648456057,-70.5,149.17566176449822,842,842
Baseline,child,RSSI_var,0.18282660332541567,0.0,0.32374491401199224,842,842
Baseline,child,RSSI_stability,0.8990498812351405,0.8999999999999773,0.0003320331807230951,842,842
Baseline,child,RSSI_Hop_Diff,0.6447743467933493,0.5,0.5679690928964217,842,842
Baseline,child,LatencyHopRatio,7.322444023569024,2.9973333333333336,1008.3543791519407,792,842
Baseline,child,ConsistencyScore,9.99998999939855e-07,9.99998999939855e-07,0.0,367,842
Baseline,root,IngressEgressDelta,0.0,0.0,0.0,420,420
Baseline,root,RetryRate,0.0,0.0,,1,420
Baseline,root,ParentSwitchRate,0.0,0.0,0.0,420,420
Baseline,root,HopChangeCount,0.0,0.0,0.0,420,420
Baseline,root,HopStabilityDuration,1.0,1.0,0.0,420,420
Baseline,root,RSSI_var,0.0,0.0,0.0,420,420
Baseline,root,RSSI_stability,0.0,0.0,0.0,420,420
Blackhole,blackhole,ForwardingRatio,0.0,0.0,0.0,180,180
Blackhole,blackhole,IngressEgressDelta,1.9944444444444445,2.0,0.005555555555555555,180,180
Blackhole,blackhole,ParentSwitchRate,0.0,0.0,0.0,180,180
Blackhole,blackhole,HopChangeCount,0.0,0.0,0.0,180,180
Blackhole,blackhole,HopStabilityDuration,1.0,1.0,0.0,180,180
Blackhole,blackhole,RSSI_mean,-76.31166666666665,-76.6,4.251203910614524,180,180
Blackhole,blackhole,RSSI_var,0.22583333333333333,0.09,0.22449148044692743,180,180
Blackhole,blackhole,RSSI_stability,0.8999999999999773,0.8999999999999773,0.0,180,180
Blackhole,blackhole,RSSI_Hop_Diff,1.7438888888888895,1.3999999999999917,1.9866104903786486,180,180
Blackhole,blackhole,ConsistencyScore,1.0,1.0,0.0,180,180
Blackhole,child,ForwardingRatio,0.9999990000010003,0.999999000001,1.1155678707084358e-31,179,360
Blackhole,child,IngressEgressDelta,0.0,0.0,0.0,360,360
Blackhole,child,RetryRate,0.0,0.0,0.0,359,360
Blackhole,child,PDR,0.0,0.0,0.0,359,360
Blackhole,child,ParentSwitchRate,0.0,0.0,0.0,360,360
Blackhole,child,HopChangeCount,0.0,0.0,0.0,360,360
Blackhole,child,HopStabilityDuration,1.0,1.0,0.0,360,360
Blackhole,child,RSSI_mean,-70.94666666666666,-68.1,143.10750974930363,360,360
Blackhole,child,RSSI_var,0.19716666666666668,0.0,0.5395189693593315,360,360
Blackhole,child,RSSI_stability,0.8991666666666437,0.8999999999999773,8.286908077998204e-05,360,360
Blackhole,child,RSSI_Hop_Diff,0.8172222222222219,0.5,1.4400925410089753,360,360
Blackhole,child,ConsistencyScore,9.99998999939855e-07,9.99998999939855e-07,0.0,179,360
Blackhole,root,IngressEgressDelta,0.0,0.0,0.0,180,180
Blackhole,root,RetryRate,0.0,0.0,,1,180
Blackhole,root,ParentSwitchRate,0.0,0.0,0.0,180,180
Blackhole,root,HopChangeCount,0.0,0.0,0.0,180,180
Blackhole,root,HopStabilityDuration,1.0,1.0,0.0,180,180
Blackhole,root,RSSI_var,0.0,0.0,0.0,180,180
Blackhole,root,RSSI_stability,0.0,0.0,0.0,180,180
