feature,threshold_accuracy,nan_accuracy,coverage,excluded,majority_baseline,lift_over_majority
PDR,0.9991319444444444,0.5197669579692051,0.4794007490636704,False,0.7003745318352059,0.2987574126092385
LatencyHopRatio,0.9987373737373737,0.6292134831460674,0.3295880149812734,False,0.7003745318352059,0.2983628419021678
ForwardingRatio,0.8439407149084568,0.5218476903870163,0.4773200166458593,False,0.7003745318352059,0.14356618307325086
ConsistencyScore,0.8439407149084568,0.5218476903870163,0.4773200166458593,False,0.7003745318352059,0.14356618307325086
IngressEgressDelta,0.7748647523928422,,1.0,False,0.7003745318352059,0.07449022055763632
RetryRate,0.7714285714285715,0.6554307116104869,0.6554307116104869,False,0.7003745318352059,0.07105403959336554
RSSI_mean,0.7032723239046035,0.6004993757802747,0.7503121098626716,False,0.7003745318352059,0.0028977920693975534
RSSI_var,0.7012068248023304,,1.0,False,0.7003745318352059,0.0008322929671245038
ParentSwitchRate,0.7003745318352059,,1.0,False,0.7003745318352059,0.0
HopChangeCount,0.7003745318352059,,1.0,False,0.7003745318352059,0.0
RSSI_Hop_Diff,0.6999445368829729,0.6004993757802747,0.7503121098626716,False,0.7003745318352059,-0.0004299949522330593
HopStabilityDuration,0.6987099459009571,,1.0,False,0.7003745318352059,-0.0016645859342487856
RSSI_stability,0.6004993757802747,,1.0,False,0.7003745318352059,-0.09987515605493125
TunnelIntensity,,,0.0,True,0.7003745318352059,
TunnelBytes,,,0.0,True,0.7003745318352059,
TunnelLatency,,,0.0,True,0.7003745318352059,
