timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
7061881,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,255,255,20:50:0D:E7:1C:38,127,-131427659
7519581,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,255,255,20:50:0D:E7:0C:80,111,-109359964
8048960,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,255,255,20:50:0D:E7:1C:38,128,-131440580
8514624,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,255,255,20:50:0D:E7:0C:80,112,-109364928
9317156,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,255,255,20:50:0D:E7:1C:38,129,-131172387
9520441,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,6,255,255,20:50:0D:E7:0C:80,113,-109359100
10048897,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,7,255,255,20:50:0D:E7:1C:38,130,-131440654
10522169,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,8,255,255,20:50:0D:E7:0C:80,114,-109357378
11053737,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,9,255,255,20:50:0D:E7:1C:38,131,-131435803
11516001,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,255,255,20:50:0D:E7:0C:80,115,-109363545
12048151,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,255,255,20:50:0D:E7:1C:38,132,-131441391
12518865,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,12,255,255,20:50:0D:E7:0C:80,116,-109360686
13047906,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,13,255,255,20:50:0D:E7:1C:38,133,-131441634
13524423,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,14,255,255,20:50:0D:E7:0C:80,117,-109365124
14048467,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,15,255,255,20:50:0D:E7:1C:38,134,-131441084
14523380,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,16,255,255,20:50:0D:E7:0C:80,118,-109366165
15050725,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,17,255,255,20:50:0D:E7:1C:38,135,-131438821
15523836,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,18,255,255,20:50:0D:E7:0C:80,119,-109365710
16050485,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,19,255,255,20:50:0D:E7:1C:38,136,-131439057
16523352,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,20,255,255,20:50:0D:E7:0C:80,120,-109366199
17049098,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,21,255,255,20:50:0D:E7:1C:38,137,-131440446
17524323,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,255,255,20:50:0D:E7:0C:80,121,-109365224
18047511,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,23,255,255,20:50:0D:E7:1C:38,138,-131442041
18526028,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,24,255,255,20:50:0D:E7:0C:80,122,-109363514
19051166,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,25,255,255,20:50:0D:E7:1C:38,139,-131438378
