timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
4789481,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0,F4:2D:C9:73:E6:18,41,-99008237
4955901,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0,70:4B:CA:25:B7:68,22,-79631777
5783160,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0,F4:2D:C9:73:E6:18,42,-99014559
5961247,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0,70:4B:CA:25:B7:68,23,-79636427
6792004,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0,F4:2D:C9:73:E6:18,43,-99015711
6962292,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0,70:4B:CA:25:B7:68,24,-79635395
7804983,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0,F4:2D:C9:73:E6:18,44,-99012730
7958853,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0,70:4B:CA:25:B7:68,25,-79638833
8800503,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0,F4:2D:C9:73:E6:18,45,-99017207
8961889,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0,70:4B:CA:25:B7:68,26,-79635789
9624922,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0,B4:BF:E9:34:ED:80,1,-87459004
9810159,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0,F4:2D:C9:73:E6:18,46,-99007556
9977093,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0,70:4B:CA:25:B7:68,27,-79630581
10637035,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,14,0,0,B4:BF:E9:34:ED:80,2,-87460651
10803030,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0,F4:2D:C9:73:E6:18,47,-99014679
10979488,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0,70:4B:CA:25:B7:68,28,-79638187
11644766,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,17,0,0,B4:BF:E9:34:ED:80,3,-87462920
11816974,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,18,0,0,F4:2D:C9:73:E6:18,48,-99010735
11974408,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,19,0,0,70:4B:CA:25:B7:68,29,-79643278
12644180,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0,B4:BF:E9:34:ED:80,4,-87463499
12829852,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,21,0,0,F4:2D:C9:73:E6:18,49,-99007857
12984870,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,22,0,0,70:4B:CA:25:B7:68,30,-79632812
13661123,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0,B4:BF:E9:34:ED:80,5,-87456551
