timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
48229623,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
48327714,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
48427703,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
48527702,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
48637718,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
48737703,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
48847707,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
48947702,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
49057742,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
49157719,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
49267711,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
49367702,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
49477718,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
49577715,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
49687719,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
49787714,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
49897718,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
49997715,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
50107719,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
50207702,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
50317718,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
50417703,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
50527719,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
50627714,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
50737714,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
50837703,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
50947711,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
51047702,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
51157718,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
51257703,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
51367707,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
51467702,NODE_F42DC973E618,victim,2,28:05:A5:32:D7:B5,-75,0,0,0,0,0
