timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
4133950,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4227664,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4327675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
4427667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
4527672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4637672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4737667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4847671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
4947969,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
5057672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
5167679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5267667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5367668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
5477672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
5577675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
5687671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
5787668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
5897676,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
5997667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
6108104,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
6218472,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
6317676,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
6417679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
6527671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
6627676,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
6737672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
6837671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
6947933,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
7047676,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
