timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
4992332,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0,B4:BF:E9:32:FE:90,104,-193335372
5198520,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0,70:4B:CA:25:B7:68,139,-196529185
5314558,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0,F4:2D:C9:73:E6:18,149,-206353109
5467746,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0,B4:BF:E9:34:ED:80,96,-187139952
5997741,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0,B4:BF:E9:32:FE:90,105,-193339962
6208742,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0,70:4B:CA:25:B7:68,140,-196518955
6317357,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0,F4:2D:C9:73:E6:18,150,-206350309
6474443,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0,B4:BF:E9:34:ED:80,97,-187143255
7009099,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0,B4:BF:E9:32:FE:90,106,-193338602
7225540,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0,70:4B:CA:25:B7:68,141,-196522157
7325643,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0,F4:2D:C9:73:E6:18,151,-206342826
7475943,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0,B4:BF:E9:34:ED:80,98,-187141756
8014726,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0,B4:BF:E9:32:FE:90,107,-193342971
8224689,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,14,0,0,70:4B:CA:25:B7:68,142,-196533008
8318569,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0,F4:2D:C9:73:E6:18,152,-206349753
8477071,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0,B4:BF:E9:34:ED:80,99,-187140627
9012783,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,17,0,0,B4:BF:E9:32:FE:90,108,-193344914
9230729,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,18,0,0,70:4B:CA:25:B7:68,143,-196526969
9321052,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,19,0,0,F4:2D:C9:73:E6:18,153,-206346622
9481881,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0,B4:BF:E9:34:ED:80,100,-187135818
10015708,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,21,0,0,B4:BF:E9:32:FE:90,109,-193341991
10239679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,22,0,0,70:4B:CA:25:B7:68,144,-196528023
10316595,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0,F4:2D:C9:73:E6:18,154,-206351071
10496576,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,24,0,0,B4:BF:E9:34:ED:80,101,-187131119
11032907,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,25,0,0,B4:BF:E9:32:FE:90,110,-193334791
11247388,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,26,0,0,70:4B:CA:25:B7:68,145,-196530313
11320441,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,27,0,0,F4:2D:C9:73:E6:18,155,-206347230
11494994,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,28,0,0,B4:BF:E9:34:ED:80,102,-187142706
12037770,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,29,0,0,B4:BF:E9:32:FE:90,111,-193339931
12260052,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,30,0,0,70:4B:CA:25:B7:68,146,-196527649
12316323,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,31,0,0,F4:2D:C9:73:E6:18,156,-206351347
12496043,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,32,0,0,B4:BF:E9:34:ED:80,103,-187141663
13047018,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,33,0,0,B4:BF:E9:32:FE:90,112,-193340679
