timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
7977104,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,255,255,20:50:0D:E7:1C:38,78,-139092449
8550358,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,255,255,20:50:0D:E7:0C:80,80,-73209191
8822804,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,255,255,20:50:0D:E7:1C:38,79,-139246741
9548186,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,255,255,20:50:0D:E7:0C:80,81,-73211365
9845582,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,255,255,20:50:0D:E7:1C:38,80,-139223963
10549483,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,6,255,255,20:50:0D:E7:0C:80,82,-73210058
10816842,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,7,255,255,20:50:0D:E7:1C:38,81,-139252705
11548111,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,8,255,255,20:50:0D:E7:0C:80,83,-73211431
11816810,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,9,255,255,20:50:0D:E7:1C:38,82,-139252742
12546942,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,255,255,20:50:0D:E7:0C:80,84,-73212599
12816945,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,255,255,20:50:0D:E7:1C:38,83,-139252600
13551384,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,12,255,255,20:50:0D:E7:0C:80,85,-73208169
13838766,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,13,255,255,20:50:0D:E7:1C:38,84,-139230781
14557049,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,14,255,255,20:50:0D:E7:0C:80,86,-73212492
14815937,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,15,255,255,20:50:0D:E7:1C:38,85,-139253611
15560143,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,16,255,255,20:50:0D:E7:0C:80,87,-73209399
15816892,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,17,255,255,20:50:0D:E7:1C:38,86,-139252660
16559682,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,18,255,255,20:50:0D:E7:0C:80,88,-73209859
16822025,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,19,255,255,20:50:0D:E7:1C:38,87,-139247518
17558969,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,20,255,255,20:50:0D:E7:0C:80,89,-73210582
17827025,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,21,255,255,20:50:0D:E7:1C:38,88,-139252520
18556404,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,255,255,20:50:0D:E7:0C:80,90,-73213138
18826475,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,23,255,255,20:50:0D:E7:1C:38,89,-139253066
19561369,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,24,255,255,20:50:0D:E7:0C:80,91,-73208172
19826804,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,25,255,255,20:50:0D:E7:1C:38,90,-139252749
20557432,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,26,255,255,20:50:0D:E7:0C:80,92,-73212110
20833434,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,27,255,255,20:50:0D:E7:1C:38,91,-139246118
21561362,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,28,255,255,20:50:0D:E7:0C:80,93,-73208181
21825595,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,29,255,255,20:50:0D:E7:1C:38,92,-139253953
22563393,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,30,255,255,20:50:0D:E7:0C:80,94,-73206148
22826854,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,31,255,255,20:50:0D:E7:1C:38,93,-139252688
23557505,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,32,255,255,20:50:0D:E7:0C:80,95,-73212039
23826399,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,33,255,255,20:50:0D:E7:1C:38,94,-139253146
24560908,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,34,255,255,20:50:0D:E7:0C:80,96,-73208634
24826425,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,35,255,255,20:50:0D:E7:1C:38,95,-139253127
25563963,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,36,255,255,20:50:0D:E7:0C:80,97,-73205578
25826666,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,37,255,255,20:50:0D:E7:1C:38,96,-139252876
26559602,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,38,255,255,20:50:0D:E7:0C:80,98,-73209939
26826501,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,39,255,255,20:50:0D:E7:1C:38,97,-139253040
27558128,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,40,255,255,20:50:0D:E7:0C:80,99,-73211416
27826441,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,41,255,255,20:50:0D:E7:1C:38,98,-139253100
28558608,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,42,255,255,20:50:0D:E7:0C:80,100,-73210933
28859268,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,43,255,255,20:50:0D:E7:1C:38,99,-139220285
29560827,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,44,255,255,20:50:0D:E7:0C:80,101,-73208714
29826704,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,45,255,255,20:50:0D:E7:1C:38,100,-139252837
30557624,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,46,255,255,20:50:0D:E7:0C:80,102,-73211918
30826221,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,47,255,255,20:50:0D:E7:1C:38,101,-139253320
31559242,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,48,255,255,20:50:0D:E7:0C:80,103,-73210305
31826282,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,49,255,255,20:50:0D:E7:1C:38,102,-139253260
32559945,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,50,255,255,20:50:0D:E7:0C:80,104,-73209596
32826345,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,51,255,255,20:50:0D:E7:1C:38,103,-139253207
33563307,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,52,255,255,20:50:0D:E7:0C:80,105,-73206236
33828654,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,53,255,255,20:50:0D:E7:1C:38,104,-139250898
34557706,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,54,255,255,20:50:0D:E7:0C:80,106,-73211836
34825919,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,55,255,255,20:50:0D:E7:1C:38,105,-139253628
35565419,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,56,255,255,20:50:0D:E7:0C:80,107,-73204129
35824425,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,57,255,255,20:50:0D:E7:1C:38,106,-139255127
36566580,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,58,255,255,20:50:0D:E7:0C:80,108,-73212969
36825975,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,59,255,255,20:50:0D:E7:1C:38,107,-139253570
37567412,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,60,255,255,20:50:0D:E7:0C:80,109,-73212129
37825844,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,61,255,255,20:50:0D:E7:1C:38,108,-139253709
38567283,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,62,255,255,20:50:0D:E7:0C:80,110,-73212258
38825927,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,63,255,255,20:50:0D:E7:1C:38,109,-139253614
39569772,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,64,255,255,20:50:0D:E7:0C:80,111,-73209777
39826105,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,65,255,255,20:50:0D:E7:1C:38,110,-139253436
40567195,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,66,255,255,20:50:0D:E7:0C:80,112,-73212356
40826154,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,67,255,255,20:50:0D:E7:1C:38,111,-139253389
41568862,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,68,255,255,20:50:0D:E7:0C:80,113,-73210679
41828790,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,69,255,255,20:50:0D:E7:1C:38,112,-139250762
42567971,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,70,255,255,20:50:0D:E7:0C:80,114,-73211571
42824849,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,71,255,255,20:50:0D:E7:1C:38,113,-139254699
43568080,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,72,255,255,20:50:0D:E7:0C:80,115,-73211467
43826042,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,73,255,255,20:50:0D:E7:1C:38,114,-139253504
44566957,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,74,255,255,20:50:0D:E7:0C:80,116,-73212595
44825588,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,75,255,255,20:50:0D:E7:1C:38,115,-139253957
45568294,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,76,255,255,20:50:0D:E7:0C:80,117,-73211248
45832706,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,77,255,255,20:50:0D:E7:1C:38,116,-139246846
46571429,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,78,255,255,20:50:0D:E7:0C:80,118,-73208116
46829577,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,79,255,255,20:50:0D:E7:1C:38,117,-139250059
47572385,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,80,255,255,20:50:0D:E7:0C:80,119,-73207162
47826228,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,81,255,255,20:50:0D:E7:1C:38,118,-139253317
48574299,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,82,255,255,20:50:0D:E7:0C:80,120,-73205244
48826246,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,83,255,255,20:50:0D:E7:1C:38,119,-139253295
