timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
7042547,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
7137666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
7237665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
7337665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7437666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7547966,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
7647669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
7757669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
7857666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
7967667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
8077665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
8177665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
8277666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
8387679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
8487673,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
8597669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
8697666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
8807667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
8907665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
9017665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
9127669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
