timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
5932775,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
6028086,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6127663,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6227705,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
6327668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
6437684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
6537671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
6647675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
6747672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
6857684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
6968270,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
7067667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
7167668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
7277684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
7377667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
7487683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
7587668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
7697676,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
7797683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
7897667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
8007672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
8107667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
8207667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
8317683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0
8417956,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
8517675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
8617663,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
8727676,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
8827683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
8937667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
9047679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0
9147668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0
9257676,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0
9357679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,14,0,0
9467683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
9567668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
9677672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
9777675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
9887671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0
9987672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,17,0,0
10097676,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,17,0,0
10197667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,17,0,0
10307683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,18,0,0
10407672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,18,0,0
10517680,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,19,0,0
10617667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,19,0,0
10727671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,19,0,0
10827684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0
10937668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0
11037679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,21,0,0
11147683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,21,0,0
11247668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,21,0,0
11357684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,22,0,0
11457675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0
11567671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0
11667668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0
11777668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0
11877683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,24,0,0
11987679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,24,0,0
12087672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,25,0,0
12197668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,25,0,0
12297675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,25,0,0
12407683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,26,0,0
12507676,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,27,0,0
12617668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,27,0,0
12717671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,27,0,0
12827683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,28,0,0
12927668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,28,0,0
13037684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,29,0,0
13137667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,29,0,0
13247671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,29,0,0
13347676,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,30,0,0
13457684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,31,0,0
13557663,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,31,0,0
13667671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,31,0,0
13767668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,31,0,0
13877684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,32,0,0
13977667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,32,0,0
14087683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,33,0,0
14187668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,33,0,0
14297668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,33,0,0
14397679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,34,0,0
14507683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,35,0,0
14607668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,35,0,0
14717672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,35,0,0
14817969,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,36,0,0
14917675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,36,0,0
15017851,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,37,0,0
15117671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,37,0,0
15217667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,37,0,0
15328107,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,38,0,0
15427667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,38,0,0
15537683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,39,0,0
15637667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,39,0,0
15747668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,39,0,0
15847683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,40,0,0
15957667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,40,0,0
16057683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,41,0,0
16167668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,41,0,0
16267671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,41,0,0
16377675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,42,0,0
16477675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,43,0,0
16587668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,43,0,0
16687667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,43,0,0
16797671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,43,0,0
16897683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,44,0,0
17007680,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,44,0,0
17107679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,45,0,0
17217667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,45,0,0
17317667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,45,0,0
17427684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,46,0,0
17527667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,47,0,0
17637667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,47,0,0
17737663,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,47,0,0
17847684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,48,0,0
17947667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,48,0,0
18057683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,49,0,0
18157667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,49,0,0
18267668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,49,0,0
18367683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,50,0,0
18477675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,51,0,0
18577667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,51,0,0
18687672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,51,0,0
18787667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,51,0,0
18897683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,52,0,0
18997667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,52,0,0
19107680,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,53,0,0
19207667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,53,0,0
19317675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,53,0,0
19417679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,54,0,0
19527680,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,55,0,0
19627667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,55,0,0
19737667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,55,0,0
19837683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,56,0,0
19947668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,56,0,0
20047683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,57,0,0
20157675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,57,0,0
20257667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,57,0,0
20367684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,58,0,0
20467687,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,58,0,0
20577671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,59,0,0
20677667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,59,0,0
20787668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,59,0,0
20887683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,60,0,0
20997667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,60,0,0
21097683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,61,0,0
21207668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,61,0,0
21307667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,61,0,0
21417683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,62,0,0
21517675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,63,0,0
21627672,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,63,0,0
21727667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,63,0,0
21837679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,64,0,0
21937667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,64,0,0
22047684,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,65,0,0
22147667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,65,0,0
22257671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,65,0,0
22357675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,65,0,0
22467680,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,66,0,0
22567675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,67,0,0
22677671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,67,0,0
22777667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,67,0,0
22887680,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,68,0,0
22987667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,68,0,0
23097683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,69,0,0
23197667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,69,0,0
23307668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,69,0,0
23407683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,70,0,0
23517683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,71,0,0
23617667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,71,0,0
23727668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,71,0,0
23827675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,72,0,0
23937667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,72,0,0
24037683,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,73,0,0
24137668,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,73,0,0
