timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
5078708,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0,B4:BF:E9:34:ED:80,47,-121208981
5201425,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0,B4:BF:E9:32:FE:90,51,-110686270
5212547,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0,F4:2D:C9:73:E6:18,75,-131715167
5421101,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0,70:4B:CA:25:B7:68,72,-113066585
6096212,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0,B4:BF:E9:34:ED:80,48,-121201475
6210156,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0,B4:BF:E9:32:FE:90,52,-110687538
6226192,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0,F4:2D:C9:73:E6:18,76,-131711526
6425931,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0,70:4B:CA:25:B7:68,73,-113061755
7096986,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0,B4:BF:E9:34:ED:80,49,-121210696
7224523,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0,B4:BF:E9:32:FE:90,53,-110683168
7239434,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0,F4:2D:C9:73:E6:18,77,-131708275
7430284,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0,70:4B:CA:25:B7:68,74,-113057403
8104860,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0,B4:BF:E9:34:ED:80,50,-121212826
8231902,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,14,0,0,B4:BF:E9:32:FE:90,54,-110685792
8253675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0,F4:2D:C9:73:E6:18,78,-131704329
8438648,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0,70:4B:CA:25:B7:68,75,-113059039
