timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
7402797,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,0,0,0
7497663,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7597665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7697665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,1,0,0
7797667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
7907675,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,2,0,0
8007677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8117665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8217663,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,3,0,0
8327682,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
8437669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,4,0,0
8537673,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
8637667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
8747671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,5,0,0
8847677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,6,0,0
8958018,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
9057674,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
9167667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,7,0,0
9267673,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
9377665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,8,0,0
9487677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
9587667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
9687665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,9,0,0
9797677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0
9897663,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,10,0,0
10007679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
10107665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
10217669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,11,0,0
10327669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
10427667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,12,0,0
10537677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0
10637665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0
10747665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,13,0,0
10847679,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,14,0,0
10957677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
11057665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
11167665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,15,0,0
11267671,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0
11377669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,16,0,0
11477677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,17,0,0
11577667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,17,0,0
11677666,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,17,0,0
11787677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,18,0,0
11887661,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,18,0,0
11997678,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,19,0,0
12097665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,19,0,0
12207669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,19,0,0
12307669,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0
12417670,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,20,0,0
12517677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,21,0,0
12627673,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,21,0,0
12727661,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,21,0,0
12837678,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,22,0,0
12937665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,22,0,0
13047673,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0
13147665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0
13257667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,23,0,0
13357673,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,24,0,0
13467938,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,25,0,0
13567673,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,25,0,0
13677667,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,25,0,0
13777677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,26,0,0
13887665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,26,0,0
13987677,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,27,0,0
14097670,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,27,0,0
14197665,NODE_2805A532D7B4,root,1,00:00:00:00:00:00,0,0,0,27,0,0
