timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
9637134,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,255,255,20:50:0D:E7:0C:80,72,-66942439
10524959,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,255,255,20:50:0D:E7:1C:38,103,-106364615
10645004,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,255,255,20:50:0D:E7:0C:80,73,-66934572
11529587,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,255,255,20:50:0D:E7:1C:38,104,-106359988
11630870,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,255,255,20:50:0D:E7:0C:80,74,-66948710
12531046,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,6,255,255,20:50:0D:E7:1C:38,105,-106368531
12628442,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,7,255,255,20:50:0D:E7:0C:80,75,-66951139
13531434,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,8,255,255,20:50:0D:E7:1C:38,106,-106368143
13631262,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,9,255,255,20:50:0D:E7:0C:80,76,-66948318
14940428,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,255,255,20:50:0D:E7:1C:38,107,-105959150
14952732,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,255,255,20:50:0D:E7:0C:80,77,-66626844
15541454,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,12,255,255,20:50:0D:E7:1C:38,108,-106368124
15628270,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,13,255,255,20:50:0D:E7:0C:80,78,-66952053
16545168,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,14,255,255,20:50:0D:E7:1C:38,109,-106364409
16630951,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,15,255,255,20:50:0D:E7:0C:80,79,-66948629
17540583,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,16,255,255,20:50:0D:E7:1C:38,110,-106368994
17626852,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,17,255,255,20:50:0D:E7:0C:80,80,-66952728
18542169,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,18,255,255,20:50:0D:E7:1C:38,111,-106367409
18644012,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,19,255,255,20:50:0D:E7:0C:80,81,-66935569
19538389,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,20,255,255,20:50:0D:E7:1C:38,112,-106371188
19625874,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,21,255,255,20:50:0D:E7:0C:80,82,-66953702
20538534,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,255,255,20:50:0D:E7:1C:38,113,-106371043
20625617,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,23,255,255,20:50:0D:E7:0C:80,83,-66953959
21537994,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,24,255,255,20:50:0D:E7:1C:38,114,-106371584
21625518,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,25,255,255,20:50:0D:E7:0C:80,84,-66954248
22543305,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,26,255,255,20:50:0D:E7:1C:38,115,-106366272
22626297,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,27,255,255,20:50:0D:E7:0C:80,85,-66953283
23538548,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,28,255,255,20:50:0D:E7:1C:38,116,-106371029
23626298,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,29,255,255,20:50:0D:E7:0C:80,86,-66953282
24538472,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,30,255,255,20:50:0D:E7:1C:38,117,-106371106
24628954,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,31,255,255,20:50:0D:E7:0C:80,87,-66950623
25538226,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,32,255,255,20:50:0D:E7:1C:38,118,-106371351
25630444,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,33,255,255,20:50:0D:E7:0C:80,88,-66949132
26540672,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,34,255,255,20:50:0D:E7:1C:38,119,-106368905
26631113,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,35,255,255,20:50:0D:E7:0C:80,89,-66948467
27538328,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,36,255,255,20:50:0D:E7:1C:38,120,-106371250
27628368,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,37,255,255,20:50:0D:E7:0C:80,90,-66951213
28537721,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,38,255,255,20:50:0D:E7:1C:38,121,-106371856
28628971,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,39,255,255,20:50:0D:E7:0C:80,91,-66950609
29538458,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,40,255,255,20:50:0D:E7:1C:38,122,-106371119
29625608,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,41,255,255,20:50:0D:E7:0C:80,92,-66953968
30538189,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,42,255,255,20:50:0D:E7:1C:38,123,-106371389
30632236,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,43,255,255,20:50:0D:E7:0C:80,93,-66947333
31538199,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,44,255,255,20:50:0D:E7:1C:38,124,-106371378
31626378,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,45,255,255,20:50:0D:E7:0C:80,94,-66953202
32538232,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,46,255,255,20:50:0D:E7:1C:38,125,-106371345
32626473,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,47,255,255,20:50:0D:E7:0C:80,95,-66953107
33538355,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,48,255,255,20:50:0D:E7:1C:38,126,-106371223
33625407,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,49,255,255,20:50:0D:E7:0C:80,96,-66954174
34538035,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,50,255,255,20:50:0D:E7:1C:38,127,-106371542
34631823,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,51,255,255,20:50:0D:E7:0C:80,97,-66947753
35537753,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,52,255,255,20:50:0D:E7:1C:38,128,-106371824
35624697,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,53,255,255,20:50:0D:E7:0C:80,98,-66954879
36538143,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,54,255,255,20:50:0D:E7:1C:38,129,-106371435
36625552,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,55,255,255,20:50:0D:E7:0C:80,99,-66954029
37537878,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,56,255,255,20:50:0D:E7:1C:38,130,-106371699
37626187,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,57,255,255,20:50:0D:E7:0C:80,100,-66953393
38538108,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,58,255,255,20:50:0D:E7:1C:38,131,-106371469
38628758,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,59,255,255,20:50:0D:E7:0C:80,101,-66950822
39541605,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,60,255,255,20:50:0D:E7:1C:38,132,-106367969
39625630,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,61,255,255,20:50:0D:E7:0C:80,102,-66953947
40537888,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,62,255,255,20:50:0D:E7:1C:38,133,-106371689
40625324,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,63,255,255,20:50:0D:E7:0C:80,103,-66954252
41537741,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,64,255,255,20:50:0D:E7:1C:38,134,-106371836
41633267,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,65,255,255,20:50:0D:E7:0C:80,104,-66946313
42536868,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,66,255,255,20:50:0D:E7:1C:38,135,-106372710
42631893,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,67,255,255,20:50:0D:E7:0C:80,105,-66947688
43537675,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,68,255,255,20:50:0D:E7:1C:38,136,-106371902
43630986,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,69,255,255,20:50:0D:E7:0C:80,106,-66948594
44537848,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,70,255,255,20:50:0D:E7:1C:38,137,-106371729
44625234,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,71,255,255,20:50:0D:E7:0C:80,107,-66954342
45537971,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,72,255,255,20:50:0D:E7:1C:38,138,-106371607
45627995,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,73,255,255,20:50:0D:E7:0C:80,108,-66951582
46537657,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,74,255,255,20:50:0D:E7:1C:38,139,-106371920
46626726,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,75,255,255,20:50:0D:E7:0C:80,109,-66952854
47537754,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,76,255,255,20:50:0D:E7:1C:38,140,-106371823
47634130,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,77,255,255,20:50:0D:E7:0C:80,110,-66945450
48537654,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,78,255,255,20:50:0D:E7:1C:38,141,-106371924
48625657,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,79,255,255,20:50:0D:E7:0C:80,111,-66953924
49537169,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,80,255,255,20:50:0D:E7:1C:38,142,-106372408
49627692,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,81,255,255,20:50:0D:E7:0C:80,112,-66951884
50540790,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,82,255,255,20:50:0D:E7:1C:38,143,-106368787
50626921,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,83,255,255,20:50:0D:E7:0C:80,113,-66952655
51540436,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,84,255,255,20:50:0D:E7:1C:38,144,-106369142
51630815,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,85,255,255,20:50:0D:E7:0C:80,114,-66948766
52538347,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,86,255,255,20:50:0D:E7:1C:38,145,-106371230
52625742,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,87,255,255,20:50:0D:E7:0C:80,115,-66953838
53537473,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,88,255,255,20:50:0D:E7:1C:38,146,-106372104
53626683,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,89,255,255,20:50:0D:E7:0C:80,116,-66952897
54537646,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,90,255,255,20:50:0D:E7:1C:38,147,-106371932
