feature,threshold_accuracy,nan_accuracy,coverage,excluded,majority_baseline,lift_over_majority
PDR,0.8873056994818653,0.5735691987513007,0.6426638917793964,False,0.700312174817898,0.18699352466396735
ForwardingRatio,0.7781145801758108,0.619146722164412,0.686576482830385,False,0.700312174817898,0.07780240535791283
ConsistencyScore,0.776598969384662,0.619146722164412,0.686576482830385,False,0.700312174817898,0.07628679456676402
IngressEgressDelta,0.7352757544224766,,1.0,False,0.700312174817898,0.03496357960457863
RSSI_var,0.7011446409989595,,1.0,False,0.700312174817898,0.0008324661810614753
RSSI_mean,0.7005245588936576,0.6480749219562956,0.872840790842872,False,0.700312174817898,0.0002123840757596307
LatencyHopRatio,0.7001455604075691,0.5331945889698231,0.42892819979188346,False,0.700312174817898,-0.00016661441032883584
HopStabilityDuration,0.6998959417273674,,1.0,False,0.700312174817898,-0.0004162330905306266
ParentSwitchRate,0.6998959417273674,,1.0,False,0.700312174817898,-0.0004162330905306266
RSSI_Hop_Diff,0.6998092513113973,0.6480749219562956,0.872840790842872,False,0.700312174817898,-0.0005029235065007187
HopChangeCount,0.6992715920915713,,1.0,False,0.700312174817898,-0.0010405827263266776
RetryRate,0.6978147762747139,,1.0,True,0.700312174817898,-0.002497398543184093
RSSI_stability,0.6482830385015609,,1.0,False,0.700312174817898,-0.0520291363163371
TunnelIntensity,,,0.0,True,0.700312174817898,
TunnelBytes,,,0.0,True,0.700312174817898,
TunnelLatency,,,0.0,True,0.700312174817898,
