timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
5498804,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,4,4,0,0
5659584,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,5,5,0,0
5759586,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,5,5,0,0
5859584,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,5,5,0,0
5979584,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,5,5,0,0
6079604,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,5,6,0,0
6189580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,8,8,0,0
6289780,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,8,8,0,0
6389585,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,8,8,0,0
6489580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,9,9,0,0
6609638,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,9,10,0,0
6709578,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,10,10,0,0
6819581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,10,10,0,0
6919580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,10,10,0,0
7019582,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,10,10,0,0
7119580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,11,11,0,0
7229577,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-67,0,13,13,0,0
7329581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,13,13,0,0
7429586,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,13,13,0,0
7539580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,14,14,0,0
7649580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,15,15,0,0
7749581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,15,15,0,0
7859578,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,15,15,0,0
7959584,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,15,15,0,0
8059581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,15,15,0,0
8159582,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,17,17,0,0
8259584,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,18,18,0,0
8359581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,18,18,0,0
8469790,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,18,19,0,0
8569582,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,19,19,0,0
8679580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,20,20,0,0
8779581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,20,20,0,0
8879582,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,20,20,0,0
8979584,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,20,20,0,0
9089580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,21,21,0,0
9189580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,23,23,0,0
9289582,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,23,23,0,0
9389581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,23,23,0,0
9499580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,24,24,0,0
9599582,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,24,24,0,0
9709578,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,25,25,0,0
9809581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,25,25,0,0
9909577,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,25,25,0,0
10009590,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,25,25,0,0
10119580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,26,26,0,0
10219580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,28,28,0,0
10319570,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,28,28,0,0
10419581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,28,28,0,0
10529580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,29,29,0,0
10639580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,29,30,0,0
10749577,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,30,30,0,0
10850030,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,30,30,0,0
10949581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,30,30,0,0
11049581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,30,30,0,0
11159581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,31,31,0,0
11259584,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,33,33,0,0
11359581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,33,33,0,0
11459582,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,33,33,0,0
11569586,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,34,34,0,0
11669580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,35,35,0,0
11779581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,35,35,0,0
11879578,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,35,35,0,0
11979581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,35,35,0,0
12079581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,35,35,0,0
12179578,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,38,38,0,0
12279584,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,38,38,0,0
12389581,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-65,0,38,38,0,0
12489582,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,39,39,0,0
12589586,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,39,39,0,0
12699580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,40,40,0,0
12810323,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,40,40,0,0
12909580,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,40,40,0,0
13019578,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,40,40,0,0
13119584,NODE_20500DE71C38,blackhole,7,20:50:0D:E7:0C:81,-66,0,41,41,0,0
