timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label,recv_count,forward_count,drop_count
6027038,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,0,255,255,0,0,0
6128632,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,1,255,255,0,0,0
6219617,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,255,255,0,0,0
6319621,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,255,255,0,0,0
6419614,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,255,255,0,0,0
6519609,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,255,255,0,0,0
6619621,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,255,255,0,0,0
6719602,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,255,255,0,0,0
6819613,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,255,255,0,0,0
6919613,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,255,255,0,0,0
7019614,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,6,255,255,0,0,0
7119625,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,7,255,255,0,0,0
7220379,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,8,255,255,0,0,0
7319626,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,255,255,0,0,0
7419609,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,255,255,0,0,0
7519614,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,255,255,0,0,0
7620368,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,255,255,0,0,0
7719609,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,255,255,0,0,0
7819605,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,255,255,0,0,0
