timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
61889148,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
62029629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
62129642,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
62229633,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
62349629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
62449645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
62559630,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
62659629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
62769641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
62869629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,1,0,0,0,0
62969642,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
63069641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
63169645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
63269630,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
63369629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
63469645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
63579630,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
63679629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
63779641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
63880222,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,2,0,0,0,0
63989638,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
64089629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
64199645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
64299630,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
64399629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
64499641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
64609637,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
64709642,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
64809637,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,3,0,0,0,0
64909641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,4,0,0,0,0
65019638,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,4,0,0,0,0
65119633,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,4,0,0,0,0
65229641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,4,0,0,0,0
65329629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,4,0,0,0,0
65429646,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,4,0,0,0,0
65529629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,4,0,0,0,0
65629637,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,4,0,0,0,0
65729642,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,4,0,0,0,0
65839629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,4,0,0,0,0
65939641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,5,0,0,0,0
66039646,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,5,0,0,0,0
66139645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,5,0,0,0,0
66239637,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,5,0,0,0,0
66339638,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,5,0,0,0,0
66439645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,5,0,0,0,0
66539637,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,5,0,0,0,0
66649629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,5,0,0,0,0
66749642,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,5,0,0,0,0
66850094,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,5,0,0,0,0
66949641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,6,0,0,0,0
67059630,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,6,0,0,0,0
67159641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,6,0,0,0,0
67269637,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,6,0,0,0,0
67369629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,6,0,0,0,0
67469646,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,6,0,0,0,0
67569645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,6,0,0,0,0
67679629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,6,0,0,0,0
67779630,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,6,0,0,0,0
67880363,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,6,0,0,0,0
67979641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,7,0,0,0,0
68099629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,7,0,0,0,0
68199642,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,7,0,0,0,0
68309642,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,7,0,0,0,0
68409633,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,7,0,0,0,0
68509629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,7,0,0,0,0
68609638,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,7,0,0,0,0
68709641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,7,0,0,0,0
68809629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,7,0,0,0,0
68919638,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,8,0,0,0,0
69019645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,8,0,0,0,0
69119629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,8,0,0,0,0
69219630,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,8,0,0,0,0
69319645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,8,0,0,0,0
69419637,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,8,0,0,0,0
69519630,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,8,0,0,0,0
69619637,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,8,0,0,0,0
69729641,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,8,0,0,0,0
69829633,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,8,0,0,0,0
69929642,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,9,0,0,0,0
70029645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,9,0,0,0,0
70139629,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,9,0,0,0,0
70239630,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,9,0,0,0,0
70349642,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,9,0,0,0,0
70449633,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,9,0,0,0,0
70549645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,9,0,0,0,0
70649638,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,9,0,0,0,0
70759645,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,9,0,0,0,0
70859633,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,9,0,0,0,0
70959642,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,10,0,0,0,0
71059637,NODE_704BCA25B768,victim,-1,00:00:00:00:00:00,0,10,0,0,0,0
