timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_count,phase_id,gt_label
2962715,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-72,0,0,0,0,0
3109617,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-75,0,0,0,0,0
3209615,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-75,0,0,0,0,0
3309611,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-77,0,0,0,0,0
3499613,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-70,0,1,1,0,0
3599599,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-70,0,1,1,0,0
3709617,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-70,0,1,1,0,0
3809604,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-66,0,1,1,0,0
3919611,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,1,1,0,0
4019609,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-66,0,1,1,0,0
4119608,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-66,0,1,1,0,0
4219611,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,1,1,0,0
4319613,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,1,1,0,0
4419614,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-66,0,2,2,0,0
4519611,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-66,0,2,2,0,0
4619609,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-66,0,2,2,0,0
4729615,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,2,2,0,0
4829604,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-69,0,2,2,0,0
4929613,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-69,0,2,2,0,0
5029607,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-69,0,2,2,0,0
5139610,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-69,0,2,2,0,0
5239613,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,2,2,0,0
5349611,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,2,2,0,0
5449609,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,2,2,0,0
5549619,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
5649603,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,3,3,0,0
5749607,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
5849619,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,3,3,0,0
5959607,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
6059603,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
6169617,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
6269604,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,3,3,0,0
6369611,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,3,3,0,0
6469609,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,3,3,0,0
6579614,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,4,4,0,0
6679603,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,4,4,0,0
6779613,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,4,4,0,0
6879608,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,4,4,0,0
6989615,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,4,4,0,0
7089609,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,4,4,0,0
7189611,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,4,4,0,0
7289608,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,4,4,0,0
7389613,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,4,4,0,0
7489607,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,4,4,0,0
7589615,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,5,5,0,0
7689613,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,5,5,0,0
7799613,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,5,5,0,0
7899606,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,5,5,0,0
7999613,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,5,5,0,0
8099607,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,5,5,0,0
8209609,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,5,5,0,0
8309615,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,5,5,0,0
8419613,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,5,5,0,0
8519605,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,6,6,0,0
8619618,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,6,6,0,0
8719603,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,6,6,0,0
8819617,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,6,6,0,0
8919610,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,6,6,0,0
9029608,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,6,6,0,0
9129607,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,6,6,0,0
9229617,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,6,6,0,0
9329607,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-67,0,6,6,0,0
9429607,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,6,6,0,0
9529611,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,7,7,0,0
9639610,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-68,0,7,7,0,0
9739603,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,7,7,0,0
9839617,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,7,7,0,0
9939606,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,7,7,0,0
10049615,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,7,7,0,0
10149609,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,7,7,0,0
10249609,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,7,7,0,0
10349607,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,7,7,0,0
10449609,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,7,7,0,0
10549603,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,8,8,0,0
10649608,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,8,8,0,0
10749609,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,8,8,0,0
10859611,NODE_F42DC973E618,victim,2,B0:CB:D8:F3:32:19,-71,0,8,8,0,0
