timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
10418235,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,1,255,255,20:50:0D:E7:0C:80,88,-88015223
11015017,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,2,255,255,B0:CB:D8:F3:32:18,97,-606974537
11426289,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,3,255,255,20:50:0D:E7:0C:80,89,-88007162
12014849,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,4,255,255,B0:CB:D8:F3:32:18,98,-606974709
12417922,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,5,255,255,20:50:0D:E7:0C:80,90,-88015529
13018056,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,6,255,255,B0:CB:D8:F3:32:18,99,-606971846
13422852,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,7,255,255,20:50:0D:E7:0C:80,91,-88010598
14165330,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,8,255,255,B0:CB:D8:F3:32:18,100,-606824245
14420791,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,9,255,255,20:50:0D:E7:0C:80,92,-88012667
15015052,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,10,255,255,B0:CB:D8:F3:32:18,101,-606974499
15424554,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,11,255,255,20:50:0D:E7:0C:80,93,-88008895
16015318,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,12,255,255,B0:CB:D8:F3:32:18,102,-606974234
16421081,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,13,255,255,20:50:0D:E7:0C:80,94,-88012377
17015655,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,14,255,255,B0:CB:D8:F3:32:18,103,-606973905
17427995,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,15,255,255,20:50:0D:E7:0C:80,95,-88005460
18015103,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,16,255,255,B0:CB:D8:F3:32:18,104,-606974451
18427755,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,17,255,255,20:50:0D:E7:0C:80,96,-88015696
19014939,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,18,255,255,B0:CB:D8:F3:32:18,105,-606974617
19428790,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,19,255,255,20:50:0D:E7:0C:80,97,-88014660
20022939,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,20,255,255,B0:CB:D8:F3:32:18,106,-606966613
20428201,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,21,255,255,20:50:0D:E7:0C:80,98,-88015245
21023440,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,22,255,255,B0:CB:D8:F3:32:18,107,-606976290
21428231,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,23,255,255,20:50:0D:E7:0C:80,99,-88015228
22026099,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,24,255,255,B0:CB:D8:F3:32:18,108,-606973451
22432225,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,25,255,255,20:50:0D:E7:0C:80,100,-88011229
23024788,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,26,255,255,B0:CB:D8:F3:32:18,109,-606974760
23440541,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,27,255,255,20:50:0D:E7:0C:80,101,-88002917
24025072,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,28,255,255,B0:CB:D8:F3:32:18,110,-606974486
24427914,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,29,255,255,20:50:0D:E7:0C:80,102,-88015545
25024788,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,30,255,255,B0:CB:D8:F3:32:18,111,-606974770
25431606,NODE_704BCA25B768,root,1,00:00:00:00:00:00,0,0,0,31,255,255,20:50:0D:E7:0C:80,103,-88011852
