timestamp_us,node_id,role,layer,parent_mac,rssi_dbm,retry_count,tx_count,probes_received,phase_id,gt_label,src_mac,seq_num,latency_us
8802003,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,2,255,255,20:50:0D:E7:1C:38,164,-173867551
9125222,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,3,255,255,20:50:0D:E7:0C:80,112,-108084330
9801931,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,4,255,255,20:50:0D:E7:1C:38,165,-173867619
10123299,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,5,255,255,20:50:0D:E7:0C:80,113,-108086254
10802105,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,6,255,255,20:50:0D:E7:1C:38,166,-173867451
11123023,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,7,255,255,20:50:0D:E7:0C:80,114,-108086537
11802968,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,8,255,255,20:50:0D:E7:1C:38,167,-173866594
12121321,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,9,255,255,20:50:0D:E7:0C:80,115,-108088239
12801731,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,10,255,255,20:50:0D:E7:1C:38,168,-173867823
13122971,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,11,255,255,20:50:0D:E7:0C:80,116,-108086582
13801802,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,12,255,255,20:50:0D:E7:1C:38,169,-173867754
14121868,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,13,255,255,20:50:0D:E7:0C:80,117,-108087684
14806348,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,14,255,255,20:50:0D:E7:1C:38,170,-173863204
15121036,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,15,255,255,20:50:0D:E7:0C:80,118,-108088524
15802323,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,16,255,255,20:50:0D:E7:1C:38,171,-173867236
16121218,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,17,255,255,20:50:0D:E7:0C:80,119,-108088343
16802235,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,18,255,255,20:50:0D:E7:1C:38,172,-173867317
17124442,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,19,255,255,20:50:0D:E7:0C:80,120,-108085110
17802141,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,20,255,255,20:50:0D:E7:1C:38,173,-173867413
18121940,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,21,255,255,20:50:0D:E7:0C:80,121,-108087612
18804783,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,22,255,255,20:50:0D:E7:1C:38,174,-173864771
19123146,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,23,255,255,20:50:0D:E7:0C:80,122,-108086415
19802143,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,24,255,255,20:50:0D:E7:1C:38,175,-173867421
20126675,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,25,255,255,20:50:0D:E7:0C:80,123,-108082885
20801876,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,26,255,255,20:50:0D:E7:1C:38,176,-173867687
21121945,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,27,255,255,20:50:0D:E7:0C:80,124,-108087607
21801986,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,28,255,255,20:50:0D:E7:1C:38,177,-173867566
22120894,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,29,255,255,20:50:0D:E7:0C:80,125,-108088659
22804950,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,30,255,255,20:50:0D:E7:1C:38,178,-173864606
23122471,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,31,255,255,20:50:0D:E7:0C:80,126,-108087089
23802015,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,32,255,255,20:50:0D:E7:1C:38,179,-173867536
24120445,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,33,255,255,20:50:0D:E7:0C:80,127,-108089103
24801722,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,34,255,255,20:50:0D:E7:1C:38,180,-173867836
25123531,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,35,255,255,20:50:0D:E7:0C:80,128,-108086022
25801309,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,36,255,255,20:50:0D:E7:1C:38,181,-173868247
26122503,NODE_B0CBD8F33218,root,1,00:00:00:00:00:00,0,0,0,37,255,255,20:50:0D:E7:0C:80,129,-108087049
