,RetryRate,PDR,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_mean,RSSI_var,RSSI_stability,RSSI_Hop_Diff,LatencyHopRatio
RetryRate,1.0,0.031630788339326685,0.5682366370706392,0.5682366370706392,-0.5682384260368746,0.1669489882523184,-0.031730999208536795,-0.19885020302212317,-0.029509232618061727,0.05221327595693632
PDR,0.031630788339326685,1.0,0.018148052673910155,0.018148052673910155,-0.01814797374170704,0.01827198958125636,0.029283349854351173,-0.05013641628539376,-0.12693555117847638,-0.0520079044713853
ParentSwitchRate,0.5682366370706392,0.018148052673910155,1.0,1.0,-0.9999969806717703,0.08056502626308983,0.12748049814712906,-0.3754616782479624,0.12684124160972018,0.05221327595693632
LayerChangeCount,0.5682366370706392,0.018148052673910155,1.0,1.0,-0.9999969806717703,0.08056502626308983,0.12748049814712906,-0.3754616782479624,0.12684124160972018,0.05221327595693632
HopStabilityDuration,-0.5682384260368746,-0.01814797374170704,-0.9999969806717703,-0.9999969806717703,1.0,-0.08056553775140982,-0.12748088305375802,0.37546054460591805,-0.126841624586218,-0.05221327595693632
RSSI_mean,0.1669489882523184,0.01827198958125636,0.08056502626308983,0.08056502626308983,-0.08056553775140982,1.0,-0.4559593672684444,0.03893085449215039,-0.4874418040568292,-0.06484609318410307
RSSI_var,-0.031730999208536795,0.029283349854351173,0.12748049814712906,0.12748049814712906,-0.12748088305375802,-0.4559593672684444,1.0,-0.33769046516935897,0.536800790902166,-0.02627396076287844
RSSI_stability,-0.19885020302212317,-0.05013641628539376,-0.3754616782479624,-0.3754616782479624,0.37546054460591805,0.03893085449215039,-0.33769046516935897,1.0,-0.25483532165452255,0.06130587351305146
RSSI_Hop_Diff,-0.029509232618061727,-0.12693555117847638,0.12684124160972018,0.12684124160972018,-0.126841624586218,-0.4874418040568292,0.536800790902166,-0.25483532165452255,1.0,0.0873104462426642
LatencyHopRatio,0.05221327595693632,-0.0520079044713853,0.05221327595693632,0.05221327595693632,-0.05221327595693632,-0.06484609318410307,-0.02627396076287844,0.06130587351305146,0.0873104462426642,1.0
