feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,,,,,,0,762,1.0
IngressEgressDelta,,,,,,0,762,1.0
RetryRate,0.09678475907540918,0.0,0.08728593726365531,0.0,0.9999999954545454,762,762,0.0
PDR,0.931311448615994,1.0,0.05495544526500104,0.0337662336785292,1.0,567,762,0.2559055118110236
ParentSwitchRate,0.17421259842519685,0.0,0.08647933976222748,0.0,1.0,762,762,0.0
LayerChangeCount,0.6876640419947506,0.0,1.3477845492703686,0.0,4.0,762,762,0.0
HopStabilityDuration,3.225721784776903,4.0,1.5652770736115278,0.0,4.0,762,762,0.0
RSSI_mean,-39.78248031496063,-53.0,793.1427905548026,-74.4,0.0,762,762,0.0
RSSI_var,71.31920275590551,0.16,38370.435977377696,0.0,1014.0,762,762,0.0
RSSI_stability,2.9448818897637796,4.0,2.816931720591431,0.0,4.0,762,762,0.0
RSSI_Hop_Diff,3.7761811023622056,1.5999999999999943,30.157247289103655,0.0,46.0,762,762,0.0
LatencyHopRatio,,,,,,0,762,1.0
ConsistencyScore,,,,,,0,762,1.0
TunnelIntensity,,,,,,0,762,1.0
TunnelBytes,,,,,,0,762,1.0
TunnelLatency,,,,,,0,762,1.0
