label,feature,mean,median,variance,n_valid,n_total
Baseline,ForwardingRatio,,,,0,577
Baseline,IngressEgressDelta,,,,0,577
Baseline,RetryRate,0.013344883596188253,0.0,0.012260833935247906,577,577
Baseline,PDR,0.9714137160862799,1.0,0.025873831232675993,481,577
Baseline,ParentSwitchRate,0.0012998266897746968,0.0,0.00032382835066435586,577,577
Baseline,LayerChangeCount,0.005199306759098787,0.0,0.005181253610629694,577,577
Baseline,HopStabilityDuration,3.9913344887348354,4.0,0.015549778548045444,577,577
Baseline,RSSI_mean,-61.37400346620451,-69.6,854.3131424513768,577,577
Baseline,RSSI_var,6.268838821490468,0.16,6169.5242779896025,577,577
Baseline,RSSI_stability,3.92894280762565,4.0,0.170289331792798,577,577
Baseline,RSSI_Hop_Diff,1.2090121317157714,0.3999999999999915,6.508113084922012,577,577
Baseline,LatencyHopRatio,3.9592745482361407,2.61245,39.62991232207287,463,577
Baseline,ConsistencyScore,,,,0,577
Baseline,TunnelIntensity,,,,0,577
Baseline,TunnelBytes,,,,0,577
Baseline,TunnelLatency,,,,0,577
