feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,,,,,,0,371,1.0
IngressEgressDelta,,,,,,0,371,1.0
RetryRate,0.0,0.0,0.0,0.0,0.0,371,371,0.0
PDR,0.9976363499121247,1.0,0.000514466570339246,0.7499998125000469,1.0,275,371,0.25876010781671155
ParentSwitchRate,0.0,0.0,0.0,0.0,0.0,371,371,0.0
LayerChangeCount,0.0,0.0,0.0,0.0,0.0,371,371,0.0
HopStabilityDuration,3.9973045822102424,4.0,0.0026954177897574112,3.0,4.0,371,371,0.0
RSSI_mean,-47.16293800539083,-61.8,801.6006024258759,-78.4,0.0,371,371,0.0
RSSI_var,1.6077560646900269,0.16,58.070346319388804,0.0,82.96000000000001,371,371,0.0
RSSI_stability,3.8975741239892185,4.0,0.24353463976105494,0.0,4.0,371,371,0.0
RSSI_Hop_Diff,2.922237196765498,1.2000000000000028,11.50575417061266,0.0,11.799999999999995,371,371,0.0
LatencyHopRatio,,,,,,0,371,1.0
ConsistencyScore,,,,,,0,371,1.0
TunnelIntensity,,,,,,0,371,1.0
TunnelBytes,,,,,,0,371,1.0
TunnelLatency,,,,,,0,371,1.0
