feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,,,,,,0,770,1.0
IngressEgressDelta,,,,,,0,770,1.0
RetryRate,0.023701293515515188,0.0,0.022925804415641068,0.0,0.9999998888889012,770,770,0.0
PDR,0.9673423745663643,1.0,0.02679661960619692,0.0549450543412631,1.0,578,770,0.24935064935064932
ParentSwitchRate,0.005194805194805195,0.0,0.0027363079053586217,0.0,0.75,770,770,0.0
LayerChangeCount,0.02077922077922078,0.0,0.04378092648573795,0.0,3.0,770,770,0.0
HopStabilityDuration,3.9714285714285715,4.0,0.05900055731005017,1.0,4.0,770,770,0.0
RSSI_mean,-41.28714285714286,-53.2,594.1080919561583,-66.6,0.0,770,770,0.0
RSSI_var,2.920116883116884,0.0,2043.005504407647,0.0,1026.16,770,770,0.0
RSSI_stability,3.961038961038961,4.0,0.0947089321601675,0.0,4.0,770,770,0.0
RSSI_Hop_Diff,3.3783116883116886,1.0,16.200244220019254,0.0,18.0,770,770,0.0
LatencyHopRatio,,,,,,0,770,1.0
ConsistencyScore,,,,,,0,770,1.0
TunnelIntensity,,,,,,0,770,1.0
TunnelBytes,,,,,,0,770,1.0
TunnelLatency,,,,,,0,770,1.0
