label,feature,mean,median,variance,n_valid,n_total
Baseline,ForwardingRatio,,,,0,770
Baseline,IngressEgressDelta,,,,0,770
Baseline,RetryRate,0.023701293515515188,0.0,0.022925804415641068,770,770
Baseline,PDR,0.9673423745663643,1.0,0.02679661960619692,578,770
Baseline,ParentSwitchRate,0.005194805194805195,0.0,0.0027363079053586217,770,770
Baseline,LayerChangeCount,0.02077922077922078,0.0,0.04378092648573795,770,770
Baseline,HopStabilityDuration,3.9714285714285715,4.0,0.05900055731005017,770,770
Baseline,RSSI_mean,-41.28714285714286,-53.2,594.1080919561583,770,770
Baseline,RSSI_var,2.920116883116884,0.0,2043.005504407647,770,770
Baseline,RSSI_stability,3.961038961038961,4.0,0.0947089321601675,770,770
Baseline,RSSI_Hop_Diff,3.3783116883116886,1.0,16.200244220019254,770,770
Baseline,LatencyHopRatio,,,,0,770
Baseline,ConsistencyScore,,,,0,770
Baseline,TunnelIntensity,,,,0,770
Baseline,TunnelBytes,,,,0,770
Baseline,TunnelLatency,,,,0,770
