feature,mean,median,variance,min,max,n_valid,n_total,nan_fraction
ForwardingRatio,,,,,,0,1437,1.0
IngressEgressDelta,,,,,,0,1437,1.0
RetryRate,0.0,0.0,0.0,0.0,0.0,1437,1437,0.0
PDR,0.9991191380313795,1.0,0.00021290349084118718,0.7199999712000011,1.0,1052,1437,0.267919276270007
ParentSwitchRate,0.0,0.0,0.0,0.0,0.0,1437,1437,0.0
LayerChangeCount,0.0,0.0,0.0,0.0,0.0,1437,1437,0.0
HopStabilityDuration,3.999304105775922,4.0,0.0006958942240779401,3.0,4.0,1437,1437,0.0
RSSI_mean,-45.19039665970773,-59.6,756.14684364478,-71.4,0.0,1437,1437,0.0
RSSI_var,0.8691997216423103,0.16,8.764558481671232,0.0,35.2,1437,1437,0.0
RSSI_stability,3.9102296450939455,4.0,0.20015294165537537,0.0,4.0,1437,1437,0.0
RSSI_Hop_Diff,2.113709116214335,2.0,3.7948328206201793,0.0,9.800000000000004,1437,1437,0.0
LatencyHopRatio,,,,,,0,1437,1.0
ConsistencyScore,,,,,,0,1437,1.0
TunnelIntensity,,,,,,0,1437,1.0
TunnelBytes,,,,,,0,1437,1.0
TunnelLatency,,,,,,0,1437,1.0
