window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id,ForwardingRatio,IngressEgressDelta,ConsistencyScore,RetryRate,RSSI_mean,RSSI_var,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_stability,PDR,_pdr_clipped,Label,missing_firmware_fields
0,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-60.8,4.5600000000000005,-63.0,-57.0,0.0,False,0.0,False,0.0,False,0.0,0.0,,,,0.0,-60.8,4.5600000000000005,9.799999999999997,,,,,0.0,0,4.0,2.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
5,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-59.8,6.959999999999999,-63.0,-55.0,0.0,False,0.0,False,0.0,False,0.0,0.0,,,,0.0,-59.8,6.959999999999999,8.799999999999997,,,,,0.0,0,4.0,3.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
10,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-53.4,13.84,-56.0,-46.0,0.0,False,0.0,False,0.0,False,0.0,0.0,,,,0.0,-53.4,13.84,2.3999999999999986,,,,,0.0,0,4.0,3.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
15,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-40.8,3.7600000000000002,-42.0,-37.0,0.0,False,0.0,False,0.0,False,0.0,0.0,,,,0.0,-40.8,3.7600000000000002,10.200000000000003,,,,,0.0,0,4.0,3.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
20,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.8,2.1599999999999997,-43.0,-39.0,0.0,False,0.0,False,0.0,False,0.0,0.0,,,,0.0,-41.8,2.1599999999999997,9.200000000000003,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
25,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.0,0.0,-43.0,-43.0,0.0,False,0.0,False,0.0,False,0.0,0.0,,,,0.0,-43.0,0.0,8.0,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
30,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.0,0.0,-43.0,-43.0,0.0,False,0.0,False,0.0,False,0.0,0.0,,,,0.0,-43.0,0.0,8.0,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
35,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,-1.0,00:00:00:00:00:00,5,5,-43.0,0.0,-43.0,-43.0,3.0,False,0.0,False,0.0,False,0.0,0.0,,,,0.9999996666667778,-43.0,0.0,26.1,,,,,0.25,1,3.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
40,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,-1.0,00:00:00:00:00:00,5,5,-25.8,443.75999999999993,-43.0,0.0,4.0,False,0.0,False,0.0,False,0.0,0.0,,,,0.9999997500000625,-25.8,443.75999999999993,8.900000000000002,,,,,0.0,0,4.0,0.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
45,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-40.2,3.3599999999999994,-42.0,-38.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-40.2,3.3599999999999994,10.799999999999997,,,,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
