window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id
0,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-60.8,4.5600000000000005,-63.0,-57.0,0.0,False,0.0,False,0.0,False,0.0,0.0
5,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-59.8,6.959999999999999,-63.0,-55.0,0.0,False,0.0,False,0.0,False,0.0,0.0
10,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-53.4,13.84,-56.0,-46.0,0.0,False,0.0,False,0.0,False,0.0,0.0
15,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-40.8,3.7600000000000002,-42.0,-37.0,0.0,False,0.0,False,0.0,False,0.0,0.0
20,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.8,2.1599999999999997,-43.0,-39.0,0.0,False,0.0,False,0.0,False,0.0,0.0
25,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.0,0.0,-43.0,-43.0,0.0,False,0.0,False,0.0,False,0.0,0.0
30,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.0,0.0,-43.0,-43.0,0.0,False,0.0,False,0.0,False,0.0,0.0
35,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,-1.0,00:00:00:00:00:00,5,5,-43.0,0.0,-43.0,-43.0,3.0,False,0.0,False,0.0,False,0.0,0.0
40,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,-1.0,00:00:00:00:00:00,5,5,-25.8,443.75999999999993,-43.0,0.0,4.0,False,0.0,False,0.0,False,0.0,0.0
45,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-40.2,3.3599999999999994,-42.0,-38.0,0.0,False,4.0,False,4.0,False,0.0,0.0
50,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.6,3.44,-47.0,-42.0,0.0,False,4.0,False,4.0,False,0.0,0.0
55,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.6,1.8399999999999999,-43.0,-39.0,0.0,False,4.0,False,4.0,False,0.0,0.0
60,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-40.6,2.6399999999999997,-43.0,-38.0,0.0,False,4.0,False,4.0,False,0.0,0.0
65,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-39.4,9.440000000000001,-44.0,-36.0,0.0,False,4.0,False,4.0,False,0.0,0.0
70,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.6,1.8400000000000003,-44.0,-40.0,0.0,False,4.0,False,4.0,False,0.0,0.0
75,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-40.0,6.4,-43.0,-37.0,0.0,False,4.0,False,4.0,False,0.0,0.0
80,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-39.4,2.6399999999999997,-41.0,-37.0,0.0,False,4.0,False,4.0,False,0.0,0.0
85,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.6,2.24,-44.0,-40.0,0.0,False,4.0,False,4.0,False,0.0,0.0
90,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-47.6,15.440000000000001,-52.0,-42.0,0.0,False,4.0,False,4.0,False,0.0,0.0
95,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-48.6,10.239999999999998,-55.0,-47.0,0.0,False,4.0,False,4.0,False,0.0,0.0
100,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-47.2,0.16,-48.0,-47.0,0.0,False,4.0,False,4.0,False,0.0,0.0
105,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-48.2,1.3599999999999999,-50.0,-47.0,0.0,False,4.0,False,4.0,False,0.0,0.0
110,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-44.0,0.4,-45.0,-43.0,0.0,False,4.0,False,4.0,False,0.0,0.0
115,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-44.0,0.0,-44.0,-44.0,0.0,False,4.0,False,4.0,False,0.0,0.0
120,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.2,4.160000000000001,-46.0,-40.0,0.0,False,3.0,False,3.0,False,0.0,0.0
125,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-40.6,1.8400000000000003,-42.0,-39.0,0.0,False,4.0,False,4.0,False,0.0,0.0
130,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.4,1.4400000000000002,-42.0,-39.0,0.0,False,5.0,False,5.0,False,0.0,0.0
135,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.0,0.0,-42.0,-42.0,0.0,False,4.0,False,4.0,False,0.0,0.0
140,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.2,1.3599999999999999,-42.0,-39.0,0.0,False,4.0,False,4.0,False,0.0,0.0
145,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-41.6,0.24,-42.0,-41.0,0.0,False,4.0,False,4.0,False,0.0,0.0
150,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-40.0,2.8,-42.0,-38.0,0.0,False,4.0,False,4.0,False,0.0,0.0
155,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.2,2.5599999999999996,-43.0,-39.0,0.0,False,4.0,False,4.0,False,0.0,0.0
160,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.4,3.04,-44.0,-39.0,0.0,False,4.0,False,4.0,False,0.0,0.0
165,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.0,0.0,-43.0,-43.0,0.0,False,4.0,False,4.0,False,0.0,0.0
170,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.6,0.24,-44.0,-43.0,0.0,False,4.0,False,4.0,False,0.0,0.0
175,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-43.4,0.24,-44.0,-43.0,0.0,False,4.0,False,4.0,False,0.0,0.0
180,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-42.2,1.7599999999999998,-44.0,-40.0,0.0,False,4.0,False,4.0,False,0.0,0.0
